studyid,intid,year,spp1,z_spp1,spp2,z_spp2
HMK011,155,1996,Epirrita autumnata,-0.948702028,Poecile montanus,-0.614119948
HMK011,155,1997,Epirrita autumnata,-2.243873653,Poecile montanus,-2.125065678
HMK011,155,1998,Epirrita autumnata,-0.862285239,Poecile montanus,-0.91007839
HMK011,155,1999,Epirrita autumnata,0.431806177,Poecile montanus,0.792980714
HMK011,155,2000,Epirrita autumnata,0.539827163,Poecile montanus,0.280678382
HMK011,155,2001,Epirrita autumnata,-0.653804735,Poecile montanus,0.353369929
HMK011,155,2002,Epirrita autumnata,1.488251423,Poecile montanus,1.802008618
HMK011,155,2003,Epirrita autumnata,0.570073039,Poecile montanus,-0.572581921
HMK011,155,2004,Epirrita autumnata,0.884414109,Poecile montanus,1.263745019
HMK011,155,2005,Epirrita autumnata,-0.38483248,Poecile montanus,0.367215938
HMK011,155,2006,Epirrita autumnata,0.425324918,Poecile montanus,1.062977889
HMK011,155,2007,Epirrita autumnata,1.066969576,Poecile montanus,0.365485187
HMK011,155,2008,Epirrita autumnata,-0.005678817,Poecile montanus,0.905479537
HMK011,155,2009,Epirrita autumnata,-0.033764274,Poecile montanus,-0.465275352
HMK019,170,1969,Phytoplankton1 spp.,-0.808318658,Daphnia3 spp.,0.691997841
HMK019,170,1970,Phytoplankton1 spp.,-1.453847078,Daphnia3 spp.,-1.544036528
HMK019,170,1971,Phytoplankton1 spp.,0.271781945,Daphnia3 spp.,-1.085763483
HMK019,170,1972,Phytoplankton1 spp.,-0.040310158,Daphnia3 spp.,0.327468733
HMK019,170,1973,Phytoplankton1 spp.,0.027654405,Daphnia3 spp.,-0.52436866
HMK019,170,1974,Phytoplankton1 spp.,0.700079996,Daphnia3 spp.,-0.412213814
HMK019,170,1975,Phytoplankton1 spp.,1.285041656,Daphnia3 spp.,0.560769059
HMK019,170,1976,Phytoplankton1 spp.,-0.128218951,Daphnia3 spp.,0.373366053
HMK019,170,1977,Phytoplankton1 spp.,-0.586491372,Daphnia3 spp.,-0.178290243
HMK019,170,1978,Phytoplankton1 spp.,-0.947026567,Daphnia3 spp.,-0.711697407
HMK019,170,1979,Phytoplankton1 spp.,-2.967762769,Daphnia3 spp.,-1.263555263
HMK019,170,1980,Phytoplankton1 spp.,-1.540584306,Daphnia3 spp.,-0.887545195
HMK019,170,1981,Phytoplankton1 spp.,-0.185631144,Daphnia3 spp.,-0.393630518
HMK019,170,1982,Phytoplankton1 spp.,0.076166575,Daphnia3 spp.,0.008943029
HMK019,170,1983,Phytoplankton1 spp.,-0.548329865,Daphnia3 spp.,-0.038017785
HMK019,170,1984,Phytoplankton1 spp.,-1.063815533,Daphnia3 spp.,-1.703085885
HMK019,170,1985,Phytoplankton1 spp.,-1.15175472,Daphnia3 spp.,NA
HMK019,170,1986,Phytoplankton1 spp.,-1.649119821,Daphnia3 spp.,-1.357134769
HMK019,170,1987,Phytoplankton1 spp.,-1.267612514,Daphnia3 spp.,-2.096056162
HMK019,170,1988,Phytoplankton1 spp.,-0.50838338,Daphnia3 spp.,-0.487082723
HMK019,170,1989,Phytoplankton1 spp.,0.097345921,Daphnia3 spp.,0.064939563
HMK019,170,1990,Phytoplankton1 spp.,1.031804096,Daphnia3 spp.,0.411288495
HMK019,170,1991,Phytoplankton1 spp.,0.621248065,Daphnia3 spp.,1.075531929
HMK019,170,1992,Phytoplankton1 spp.,0.301209217,Daphnia3 spp.,-0.187596477
HMK019,170,1993,Phytoplankton1 spp.,0.661023236,Daphnia3 spp.,0.120954661
HMK019,170,1994,Phytoplankton1 spp.,-0.060732408,Daphnia3 spp.,0.570319287
HMK019,170,1995,Phytoplankton1 spp.,-0.108073014,Daphnia3 spp.,-0.196992884
HMK019,170,1996,Phytoplankton1 spp.,-0.412190741,Daphnia3 spp.,0.26154272
HMK019,170,1997,Phytoplankton1 spp.,-0.155416382,Daphnia3 spp.,-1.628049893
HMK019,170,1998,Phytoplankton1 spp.,1.31443577,Daphnia3 spp.,0.588740805
HMK019,170,1999,Phytoplankton1 spp.,1.070172837,Daphnia3 spp.,0.785736473
HMK019,170,2000,Phytoplankton1 spp.,1.051430566,Daphnia3 spp.,1.206606889
HMK019,170,2001,Phytoplankton1 spp.,0.152934452,Daphnia3 spp.,0.972068029
HMK019,170,2002,Phytoplankton1 spp.,0.487858249,Daphnia3 spp.,-0.562291102
HMK019,170,2003,Phytoplankton1 spp.,1.518920769,Daphnia3 spp.,1.281279542
HMK019,170,2004,Phytoplankton1 spp.,0.875239958,Daphnia3 spp.,NA
HMK019,170,2005,Phytoplankton1 spp.,0.924815931,Daphnia3 spp.,1.187368523
HMK019,170,2006,Phytoplankton1 spp.,0.436218223,Daphnia3 spp.,0.850620209
HMK019,170,2007,Phytoplankton1 spp.,1.180012546,Daphnia3 spp.,NA
HMK019,170,2008,Phytoplankton1 spp.,1.498224969,Daphnia3 spp.,2.478808145
HMK019,171,1969,Daphnia3 spp.,0.691997841,Perca fluviatillis,0.691997841
HMK019,171,1970,Daphnia3 spp.,-1.544036528,Perca fluviatillis,-1.544036528
HMK019,171,1971,Daphnia3 spp.,-1.085763483,Perca fluviatillis,-1.085763483
HMK019,171,1972,Daphnia3 spp.,0.327468733,Perca fluviatillis,0.327468733
HMK019,171,1973,Daphnia3 spp.,-0.52436866,Perca fluviatillis,-0.52436866
HMK019,171,1974,Daphnia3 spp.,-0.412213814,Perca fluviatillis,-0.412213814
HMK019,171,1975,Daphnia3 spp.,0.560769059,Perca fluviatillis,0.560769059
HMK019,171,1976,Daphnia3 spp.,0.373366053,Perca fluviatillis,0.373366053
HMK019,171,1977,Daphnia3 spp.,-0.178290243,Perca fluviatillis,-0.178290243
HMK019,171,1978,Daphnia3 spp.,-0.711697407,Perca fluviatillis,-0.711697407
HMK019,171,1979,Daphnia3 spp.,-1.263555263,Perca fluviatillis,-1.263555263
HMK019,171,1980,Daphnia3 spp.,-0.887545195,Perca fluviatillis,-0.887545195
HMK019,171,1981,Daphnia3 spp.,-0.393630518,Perca fluviatillis,-0.393630518
HMK019,171,1982,Daphnia3 spp.,0.008943029,Perca fluviatillis,0.008943029
HMK019,171,1983,Daphnia3 spp.,-0.038017785,Perca fluviatillis,-0.038017785
HMK019,171,1984,Daphnia3 spp.,-1.703085885,Perca fluviatillis,-1.703085885
HMK019,171,1986,Daphnia3 spp.,-1.357134769,Perca fluviatillis,-1.357134769
HMK019,171,1987,Daphnia3 spp.,-2.096056162,Perca fluviatillis,-2.096056162
HMK019,171,1988,Daphnia3 spp.,-0.487082723,Perca fluviatillis,NA
HMK019,171,1989,Daphnia3 spp.,0.064939563,Perca fluviatillis,0.064939563
HMK019,171,1990,Daphnia3 spp.,0.411288495,Perca fluviatillis,0.411288495
HMK019,171,1991,Daphnia3 spp.,1.075531929,Perca fluviatillis,1.075531929
HMK019,171,1992,Daphnia3 spp.,-0.187596477,Perca fluviatillis,-0.187596477
HMK019,171,1993,Daphnia3 spp.,0.120954661,Perca fluviatillis,0.120954661
HMK019,171,1994,Daphnia3 spp.,0.570319287,Perca fluviatillis,0.570319287
HMK019,171,1995,Daphnia3 spp.,-0.196992884,Perca fluviatillis,-0.196992884
HMK019,171,1996,Daphnia3 spp.,0.26154272,Perca fluviatillis,0.26154272
HMK019,171,1997,Daphnia3 spp.,-1.628049893,Perca fluviatillis,-1.628049893
HMK019,171,1998,Daphnia3 spp.,0.588740805,Perca fluviatillis,0.588740805
HMK019,171,1999,Daphnia3 spp.,0.785736473,Perca fluviatillis,0.785736473
HMK019,171,2000,Daphnia3 spp.,1.206606889,Perca fluviatillis,1.206606889
