"","studyid","intid","year","species","z","X.x","phenovalue","slope","int_type","spp","X.y","spp1","spp2","interaction","neg_phenovalue","neg_slope","pos_phenovalue","pos_slope","phenodiff","phenofreq"
"1","HMK011",155,1996,"Poecile montanus",-0.614119738026831,2137,130.7477,-0.139610336134454,"herbivory","spp2",354,"Epirrita autumnata","Poecile montanus","herbivory",180.4596,-1.02194901098901,"130.7477","-0.139610336134454",49.7119,"daily"
"2","HMK011",155,1996,"Epirrita autumnata",-0.94870205102848,354,180.4596,-1.02194901098901,"herbivory","spp1",354,"Epirrita autumnata","Poecile montanus","herbivory",180.4596,-1.02194901098901,"130.7477","-0.139610336134454",49.7119,"daily"
"3","HMK011",155,1997,"Poecile montanus",-2.12506594651115,2138,139.6457,-0.139610336134454,"herbivory","spp2",355,"Epirrita autumnata","Poecile montanus","herbivory",192.649,-1.02194901098901,"139.6457","-0.139610336134454",53.0033,"daily"
"4","HMK011",155,1997,"Epirrita autumnata",-2.24387346692987,355,192.649,-1.02194901098901,"herbivory","spp1",355,"Epirrita autumnata","Poecile montanus","herbivory",192.649,-1.02194901098901,"139.6457","-0.139610336134454",53.0033,"daily"
"5","HMK011",155,1998,"Poecile montanus",-0.910078054242951,2139,135.3756,-0.139610336134454,"herbivory","spp2",356,"Epirrita autumnata","Poecile montanus","herbivory",178.8317,-1.02194901098901,"135.3756","-0.139610336134454",43.4561,"daily"
"6","HMK011",155,1998,"Epirrita autumnata",-0.862285347991166,356,178.8317,-1.02194901098901,"herbivory","spp1",356,"Epirrita autumnata","Poecile montanus","herbivory",178.8317,-1.02194901098901,"135.3756","-0.139610336134454",43.4561,"daily"
"7","HMK011",155,1999,"Poecile montanus",0.792981023948846,2140,130.4458,-0.139610336134454,"herbivory","spp2",357,"Epirrita autumnata","Poecile montanus","herbivory",169.9526,-1.02194901098901,"130.4458","-0.139610336134454",39.5068,"daily"
"8","HMK011",155,1999,"Epirrita autumnata",0.431806138896617,357,169.9526,-1.02194901098901,"herbivory","spp1",357,"Epirrita autumnata","Poecile montanus","herbivory",169.9526,-1.02194901098901,"130.4458","-0.139610336134454",39.5068,"daily"
"9","HMK011",155,2000,"Epirrita autumnata",0.539827017693259,358,166.9974,-1.02194901098901,"herbivory","spp1",358,"Epirrita autumnata","Poecile montanus","herbivory",166.9974,-1.02194901098901,"132.758","-0.139610336134454",34.2394,"daily"
"10","HMK011",155,2000,"Poecile montanus",0.280678145774378,2141,132.758,-0.139610336134454,"herbivory","spp2",358,"Epirrita autumnata","Poecile montanus","herbivory",166.9974,-1.02194901098901,"132.758","-0.139610336134454",34.2394,"daily"
