studyid,studylocation,datasource,methods,site,envfactor,envparameter,sampleduration,seasonalblock,envtype,year,envunits,envvalue,species,phenophase,extra
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1950,doy,6.16114,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1951,doy,-1.99052,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1952,doy,1.4218,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1953,doy,1.23223,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1954,doy,0.094787,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1955,doy,0.094787,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1956,doy,11.2796,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1957,doy,-3.88626,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1958,doy,-20.1896,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1959,doy,3.12796,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1960,doy,-1.80095,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1961,doy,8.05687,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1962,doy,-1.80095,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1963,doy,-0.663507,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1964,doy,-1.80095,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1965,doy,1.23223,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1966,doy,4.2654,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1967,doy,5.97156,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1968,doy,4.2654,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1969,doy,-3.69668,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1970,doy,-1.04265,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1971,doy,6.16114,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1972,doy,0.094787,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1973,doy,1.23223,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1974,doy,4.07583,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1975,doy,-4.07583,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1976,doy,4.07583,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1977,doy,-4.83412,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1978,doy,0.094787,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1979,doy,-3.88626,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1980,doy,-2.93839,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1981,doy,-4.07583,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1982,doy,15.0711,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1983,doy,2.36967,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1984,doy,-1.80095,all,NA,15
EMW001,"Woods Hole, MA, USA",paper,weather station,NA,temperature,deviation from mean; use dates from HMK035?,annual,day,water,1985,doy,-4.83412,all,NA,15
