"","studyid","envfactor","envunits","species","year","envtype","envchange"
"1","EMW001","temperature","days","all",1950,"water",0.00288320712788251
"2","EMW001","temperature","days","all",1951,"water",0.00288320712788251
"3","EMW001","temperature","days","all",1952,"water",0.00288320712788251
"4","EMW001","temperature","days","all",1953,"water",0.00288320712788251
"5","EMW001","temperature","days","all",1954,"water",0.00288320712788251
"6","EMW001","temperature","days","all",1955,"water",0.00288320712788251
"7","EMW001","temperature","days","all",1956,"water",0.00288320712788251
"8","EMW001","temperature","days","all",1957,"water",0.00288320712788251
"9","EMW001","temperature","days","all",1958,"water",0.00288320712788251
"10","EMW001","temperature","days","all",1959,"water",0.00288320712788251
"11","EMW001","temperature","days","all",1960,"water",0.00288320712788251
"12","EMW001","temperature","days","all",1961,"water",0.00288320712788251
"13","EMW001","temperature","days","all",1962,"water",0.00288320712788251
"14","EMW001","temperature","days","all",1963,"water",0.00288320712788251
"15","EMW001","temperature","days","all",1964,"water",0.00288320712788251
"16","EMW001","temperature","days","all",1965,"water",0.00288320712788251
"17","EMW001","temperature","days","all",1966,"water",0.00288320712788251
"18","EMW001","temperature","days","all",1967,"water",0.00288320712788251
"19","EMW001","temperature","days","all",1968,"water",0.00288320712788251
"20","EMW001","temperature","days","all",1969,"water",0.00288320712788251
"21","EMW001","temperature","days","all",1970,"water",0.00288320712788251
"22","EMW001","temperature","days","all",1971,"water",0.00288320712788251
"23","EMW001","temperature","days","all",1972,"water",0.00288320712788251
"24","EMW001","temperature","days","all",1973,"water",0.00288320712788251
"25","EMW001","temperature","days","all",1974,"water",0.00288320712788251
"26","EMW001","temperature","days","all",1975,"water",0.00288320712788251
"27","EMW001","temperature","days","all",1976,"water",0.00288320712788251
"28","EMW001","temperature","days","all",1977,"water",0.00288320712788251
"29","EMW001","temperature","days","all",1978,"water",0.00288320712788251
"30","EMW001","temperature","days","all",1979,"water",0.00288320712788251
"31","EMW001","temperature","days","all",1980,"water",0.00288320712788251
"32","EMW001","temperature","days","all",1981,"water",0.00288320712788251
"33","EMW001","temperature","days","all",1982,"water",0.00288320712788251
"34","EMW001","temperature","days","all",1983,"water",0.00288320712788251
"35","EMW001","temperature","days","all",1984,"water",0.00288320712788251
"36","EMW001","temperature","days","all",1985,"water",0.00288320712788251
"37","EMW001","temperature","days","all",1986,"water",0.00288320712788251
"38","EMW001","temperature","days","all",1987,"water",0.00288320712788251
"39","EMW001","temperature","days","all",1988,"water",0.00288320712788251
"40","EMW001","temperature","days","all",1989,"water",0.00288320712788251
"41","EMW001","temperature","days","all",1990,"water",0.00288320712788251
"42","EMW001","temperature","days","all",1991,"water",0.00288320712788251
"43","EMW001","temperature","days","all",1992,"water",0.00288320712788251
"44","EMW001","temperature","days","all",1993,"water",0.00288320712788251
"45","EMW001","temperature","days","all",1994,"water",0.00288320712788251
"46","EMW001","temperature","days","all",1995,"water",0.00288320712788251
"47","EMW001","temperature","days","all",1996,"water",0.00288320712788251
"48","EMW001","temperature","days","all",1997,"water",0.00288320712788251
"49","EMW001","temperature","days","all",1998,"water",0.00288320712788251
"50","EMW001","temperature","days","all",1999,"water",0.00288320712788251
"51","EMW001","temperature","days","all",2000,"water",0.00288320712788251
"52","EMW001","temperature","days","all",2001,"water",0.00288320712788251
"53","EMW001","temperature","days","all",2002,"water",0.00288320712788251
"54","EMW001","temperature","days","all",2003,"water",0.00288320712788251
"55","HMK011","temperature","C","Poecile montanus",1975,"air",0.0421083549019609
"56","HMK011","temperature","C","Poecile montanus",1976,"air",0.0421083549019609
"57","HMK011","temperature","C","Poecile montanus",1977,"air",0.0421083549019609
"58","HMK011","temperature","C","Poecile montanus",1978,"air",0.0421083549019609
"59","HMK011","temperature","C","Poecile montanus",1979,"air",0.0421083549019609
"60","HMK011","temperature","C","Poecile montanus",1980,"air",0.0421083549019609
"61","HMK011","temperature","C","Poecile montanus",1981,"air",0.0421083549019609
"62","HMK011","temperature","C","Poecile montanus",1982,"air",0.0421083549019609
"63","HMK011","temperature","C","Poecile montanus",1983,"air",0.0421083549019609
"64","HMK011","temperature","C","Poecile montanus",1984,"air",0.0421083549019609
"65","HMK011","temperature","C","Poecile montanus",1985,"air",0.0421083549019609
"66","HMK011","temperature","C","Poecile montanus",1986,"air",0.0421083549019609
"67","HMK011","temperature","C","Poecile montanus",1987,"air",0.0421083549019609
"68","HMK011","temperature","C","Poecile montanus",1988,"air",0.0421083549019609
"69","HMK011","temperature","C","Poecile montanus",1989,"air",0.0421083549019609
"70","HMK011","temperature","C","Poecile montanus",1990,"air",0.0421083549019609
"71","HMK011","temperature","C","Poecile montanus",1991,"air",0.0421083549019609
"72","HMK011","temperature","C","Poecile montanus",1992,"air",0.0421083549019609
"73","HMK011","temperature","C","Poecile montanus",1993,"air",0.0421083549019609
"74","HMK011","temperature","C","Poecile montanus",1994,"air",0.0421083549019609
"75","HMK011","temperature","C","Poecile montanus",1995,"air",0.0421083549019609
"76","HMK011","temperature","C","Poecile montanus",1996,"air",0.0421083549019609
"77","HMK011","temperature","C","Poecile montanus",1997,"air",0.0421083549019609
"78","HMK011","temperature","C","Poecile montanus",1998,"air",0.0421083549019609
"79","HMK011","temperature","C","Poecile montanus",1999,"air",0.0421083549019609
"80","HMK011","temperature","C","Poecile montanus",2000,"air",0.0421083549019609
"81","HMK011","temperature","C","Poecile montanus",2001,"air",0.0421083549019609
"82","HMK011","temperature","C","Poecile montanus",2002,"air",0.0421083549019609
"83","HMK011","temperature","C","Poecile montanus",2003,"air",0.0421083549019609
"84","HMK011","temperature","C","Poecile montanus",2004,"air",0.0421083549019609
"85","HMK011","temperature","C","Poecile montanus",2005,"air",0.0421083549019609
"86","HMK011","temperature","C","Poecile montanus",2006,"air",0.0421083549019609
"87","HMK011","temperature","C","Poecile montanus",2007,"air",0.0421083549019609
"88","HMK011","temperature","C","Poecile montanus",2008,"air",0.0421083549019609
"89","HMK011","temperature","C","Poecile montanus",2009,"air",0.0421083549019609
"90","HMK011","temperature","C","Epirrita autumnata",1975,"air",0.0226693955182074
"91","HMK011","temperature","C","Epirrita autumnata",1976,"air",0.0226693955182074
"92","HMK011","temperature","C","Epirrita autumnata",1977,"air",0.0226693955182074
"93","HMK011","temperature","C","Epirrita autumnata",1978,"air",0.0226693955182074
"94","HMK011","temperature","C","Epirrita autumnata",1979,"air",0.0226693955182074
"95","HMK011","temperature","C","Epirrita autumnata",1980,"air",0.0226693955182074
"96","HMK011","temperature","C","Epirrita autumnata",1981,"air",0.0226693955182074
"97","HMK011","temperature","C","Epirrita autumnata",1982,"air",0.0226693955182074
"98","HMK011","temperature","C","Epirrita autumnata",1983,"air",0.0226693955182074
"99","HMK011","temperature","C","Epirrita autumnata",1984,"air",0.0226693955182074
"100","HMK011","temperature","C","Epirrita autumnata",1985,"air",0.0226693955182074
"101","HMK011","temperature","C","Epirrita autumnata",1986,"air",0.0226693955182074
"102","HMK011","temperature","C","Epirrita autumnata",1987,"air",0.0226693955182074
"103","HMK011","temperature","C","Epirrita autumnata",1988,"air",0.0226693955182074
"104","HMK011","temperature","C","Epirrita autumnata",1989,"air",0.0226693955182074
"105","HMK011","temperature","C","Epirrita autumnata",1990,"air",0.0226693955182074
"106","HMK011","temperature","C","Epirrita autumnata",1991,"air",0.0226693955182074
"107","HMK011","temperature","C","Epirrita autumnata",1992,"air",0.0226693955182074
"108","HMK011","temperature","C","Epirrita autumnata",1993,"air",0.0226693955182074
"109","HMK011","temperature","C","Epirrita autumnata",1994,"air",0.0226693955182074
"110","HMK011","temperature","C","Epirrita autumnata",1995,"air",0.0226693955182074
"111","HMK011","temperature","C","Epirrita autumnata",1996,"air",0.0226693955182074
"112","HMK011","temperature","C","Epirrita autumnata",1997,"air",0.0226693955182074
"113","HMK011","temperature","C","Epirrita autumnata",1998,"air",0.0226693955182074
"114","HMK011","temperature","C","Epirrita autumnata",1999,"air",0.0226693955182074
"115","HMK011","temperature","C","Epirrita autumnata",2000,"air",0.0226693955182074
"116","HMK011","temperature","C","Epirrita autumnata",2001,"air",0.0226693955182074
"117","HMK011","temperature","C","Epirrita autumnata",2002,"air",0.0226693955182074
"118","HMK011","temperature","C","Epirrita autumnata",2003,"air",0.0226693955182074
"119","HMK011","temperature","C","Epirrita autumnata",2004,"air",0.0226693955182074
"120","HMK011","temperature","C","Epirrita autumnata",2005,"air",0.0226693955182074
"121","HMK011","temperature","C","Epirrita autumnata",2006,"air",0.0226693955182074
"122","HMK011","temperature","C","Epirrita autumnata",2007,"air",0.0226693955182074
"123","HMK011","temperature","C","Epirrita autumnata",2008,"air",0.0226693955182074
"124","HMK011","temperature","C","Epirrita autumnata",2009,"air",0.0226693955182074
"125","HMK016","temperature","C","Cerorhinca monocerata",1985,"air",-0.0114285831168834
"126","HMK016","temperature","C","Cerorhinca monocerata",1986,"air",-0.0114285831168834
"127","HMK016","temperature","C","Cerorhinca monocerata",1987,"air",-0.0114285831168834
"128","HMK016","temperature","C","Cerorhinca monocerata",1988,"air",-0.0114285831168834
"129","HMK016","temperature","C","Cerorhinca monocerata",1989,"air",-0.0114285831168834
"130","HMK016","temperature","C","Cerorhinca monocerata",1990,"air",-0.0114285831168834
"131","HMK016","temperature","C","Cerorhinca monocerata",1991,"air",-0.0114285831168834
"132","HMK016","temperature","C","Cerorhinca monocerata",1992,"air",-0.0114285831168834
"133","HMK016","temperature","C","Cerorhinca monocerata",1993,"air",-0.0114285831168834
"134","HMK016","temperature","C","Cerorhinca monocerata",1994,"air",-0.0114285831168834
"135","HMK016","temperature","C","Cerorhinca monocerata",1995,"air",-0.0114285831168834
"136","HMK016","temperature","C","Cerorhinca monocerata",1996,"air",-0.0114285831168834
"137","HMK016","temperature","C","Cerorhinca monocerata",1997,"air",-0.0114285831168834
"138","HMK016","temperature","C","Cerorhinca monocerata",1998,"air",-0.0114285831168834
"139","HMK016","temperature","C","Cerorhinca monocerata",1999,"air",-0.0114285831168834
"140","HMK016","temperature","C","Cerorhinca monocerata",2000,"air",-0.0114285831168834
"141","HMK016","temperature","C","Cerorhinca monocerata",2001,"air",-0.0114285831168834
"142","HMK016","temperature","C","Cerorhinca monocerata",2002,"air",-0.0114285831168834
"143","HMK016","temperature","C","Cerorhinca monocerata",2003,"air",-0.0114285831168834
"144","HMK016","temperature","C","Cerorhinca monocerata",2004,"air",-0.0114285831168834
"145","HMK016","temperature","C","Cerorhinca monocerata",2005,"air",-0.0114285831168834
"146","HMK018","temperature","C","all",1944,"air",0.0172158820998516
"147","HMK018","temperature","C","all",1945,"air",0.0172158820998516
"148","HMK018","temperature","C","all",1946,"air",0.0172158820998516
"149","HMK018","temperature","C","all",1947,"air",0.0172158820998516
"150","HMK018","temperature","C","all",1948,"air",0.0172158820998516
"151","HMK018","temperature","C","all",1949,"air",0.0172158820998516
"152","HMK018","temperature","C","all",1950,"air",0.0172158820998516
"153","HMK018","temperature","C","all",1951,"air",0.0172158820998516
"154","HMK018","temperature","C","all",1952,"air",0.0172158820998516
"155","HMK018","temperature","C","all",1953,"air",0.0172158820998516
"156","HMK018","temperature","C","all",1954,"air",0.0172158820998516
"157","HMK018","temperature","C","all",1955,"air",0.0172158820998516
"158","HMK018","temperature","C","all",1956,"air",0.0172158820998516
"159","HMK018","temperature","C","all",1957,"air",0.0172158820998516
"160","HMK018","temperature","C","all",1958,"air",0.0172158820998516
"161","HMK018","temperature","C","all",1959,"air",0.0172158820998516
"162","HMK018","temperature","C","all",1960,"air",0.0172158820998516
"163","HMK018","temperature","C","all",1961,"air",0.0172158820998516
"164","HMK018","temperature","C","all",1962,"air",0.0172158820998516
"165","HMK018","temperature","C","all",1963,"air",0.0172158820998516
"166","HMK018","temperature","C","all",1964,"air",0.0172158820998516
"167","HMK018","temperature","C","all",1965,"air",0.0172158820998516
"168","HMK018","temperature","C","all",1966,"air",0.0172158820998516
"169","HMK018","temperature","C","all",1967,"air",0.0172158820998516
"170","HMK018","temperature","C","all",1968,"air",0.0172158820998516
"171","HMK018","temperature","C","all",1969,"air",0.0172158820998516
"172","HMK018","temperature","C","all",1970,"air",0.0172158820998516
"173","HMK018","temperature","C","all",1971,"air",0.0172158820998516
"174","HMK018","temperature","C","all",1972,"air",0.0172158820998516
"175","HMK018","temperature","C","all",1973,"air",0.0172158820998516
"176","HMK018","temperature","C","all",1974,"air",0.0172158820998516
"177","HMK018","temperature","C","all",1975,"air",0.0172158820998516
"178","HMK018","temperature","C","all",1976,"air",0.0172158820998516
"179","HMK018","temperature","C","all",1977,"air",0.0172158820998516
"180","HMK018","temperature","C","all",1978,"air",0.0172158820998516
"181","HMK018","temperature","C","all",1979,"air",0.0172158820998516
"182","HMK018","temperature","C","all",1980,"air",0.0172158820998516
"183","HMK018","temperature","C","all",1981,"air",0.0172158820998516
"184","HMK018","temperature","C","all",1982,"air",0.0172158820998516
"185","HMK018","temperature","C","all",1983,"air",0.0172158820998516
"186","HMK018","temperature","C","all",1984,"air",0.0172158820998516
"187","HMK018","temperature","C","all",1985,"air",0.0172158820998516
"188","HMK018","temperature","C","all",1986,"air",0.0172158820998516
"189","HMK018","temperature","C","all",1987,"air",0.0172158820998516
"190","HMK018","temperature","C","all",1988,"air",0.0172158820998516
"191","HMK018","temperature","C","all",1989,"air",0.0172158820998516
"192","HMK018","temperature","C","all",1990,"air",0.0172158820998516
"193","HMK018","temperature","C","all",1991,"air",0.0172158820998516
"194","HMK018","temperature","C","all",1992,"air",0.0172158820998516
"195","HMK018","temperature","C","all",1993,"air",0.0172158820998516
"196","HMK018","temperature","C","all",1994,"air",0.0172158820998516
"197","HMK018","temperature","C","all",1995,"air",0.0172158820998516
"198","HMK018","temperature","C","all",1996,"air",0.0172158820998516
"199","HMK018","temperature","C","all",1997,"air",0.0172158820998516
"200","HMK018","temperature","C","all",1998,"air",0.0172158820998516
"201","HMK018","temperature","C","all",1999,"air",0.0172158820998516
