"","studyid","intid","X","year","spp1","spp2","interaction","taxatype","neg_phenovalue","neg_slope","pos_phenovalue","pos_slope","phenodiff","phenofreq","intxn","length","minyear"
"259","HMK008",144,263,1984,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",105.7056,0.178439912684556,105.56655,-0.283470133730404,0.139050000000012,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"260","HMK008",144,264,1985,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",124.386,0.178439912684556,111.87816,-0.283470133730404,12.50784,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"261","HMK008",144,265,1986,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",81.53372,0.178439912684556,117.4038,-0.283470133730404,-35.87008,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"262","HMK008",144,266,1987,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",110.7054,0.178439912684556,104.1018,-0.283470133730404,6.6036,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"263","HMK008",144,267,1988,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",109.9014,0.178439912684556,137.2863,-0.283470133730404,-27.3849,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"264","HMK008",144,268,1989,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",125.3521,0.178439912684556,124.44905,-0.283470133730404,0.903049999999993,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"265","HMK008",144,269,1991,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",110.7233,0.178439912684556,118.3513,-0.283470133730404,-7.628,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"266","HMK008",144,270,1992,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",116.1188,0.178439912684556,117.2051,-0.283470133730404,-1.08630000000001,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"267","HMK008",144,271,1993,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",117.1447,0.178439912684556,125.48115,-0.283470133730404,-8.33645000000001,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"268","HMK008",144,272,1994,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",87.76914,0.178439912684556,120.24725,-0.283470133730404,-32.47811,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"269","HMK008",144,273,1995,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",97.9382,0.178439912684556,122.9208,-0.283470133730404,-24.9826,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"270","HMK008",144,274,1997,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",130.9093,0.178439912684556,114.09895,-0.283470133730404,16.81035,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"271","HMK008",144,275,1999,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",143.1043,0.178439912684556,134.1332,-0.283470133730404,8.97110000000001,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"272","HMK008",144,276,2001,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",124.7273,0.178439912684556,95.23505,-0.283470133730404,29.49225,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"273","HMK008",144,277,2003,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",102.1519,0.178439912684556,126.27915,-0.283470133730404,-24.12725,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"274","HMK008",144,278,2007,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",114.1644,0.178439912684556,111.7822,-0.283470133730404,2.3822,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"275","HMK008",144,279,2008,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",106.7565,0.178439912684556,122.6224,-0.283470133730404,-15.8659,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"276","HMK008",144,280,2009,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",111.4213,0.178439912684556,107.19982,-0.283470133730404,4.22148000000001,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
"277","HMK008",144,281,2010,"Castilleja tenuiflora","Selasphorus platycercus","pollination","spp",109.1358,0.178439912684556,119.7149,-0.283470133730404,-10.5791,"daily","Castilleja tenuiflora Selasphorus platycercus poll",19,1984
