"","studyid","spp1","spp2","interaction","taxatype","intid"
"2","EMW001","Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",1
"3","EMW002","Acer saccharum","Barypeithes pellucidus","herbivory","spp",2
"4","EMW002","Acer saccharum","Sciaphilus asperatus","herbivory","spp",3
"5","EMW002","Acer saccharum","Polydrusus sericeus","herbivory","spp",4
"6","EMW002","Acer saccharum","Phyllobius oblongus","herbivory","spp",5
"96","EMW002","Ostrya virginiana","Phyllobius oblongus","herbivory","spp",6
"97","EMW002","Ostrya virginiana","Barypeithes pellucidus","herbivory","spp",7
"98","EMW002","Ostrya virginiana","Sciaphilus asperatus","herbivory","spp",8
"99","EMW002","Ostrya virginiana","Polydrusus sericeus","herbivory","spp",9
"125","EMW002","Rubus spp.","Polydrusus sericeus","herbivory","spp",10
"126","EMW002","Rubus spp.","Phyllobius oblongus","herbivory","spp",11
"127","EMW002","Rubus spp.","Barypeithes pellucidus","herbivory","spp",12
"128","EMW002","Rubus spp.","Sciaphilus asperatus","herbivory","spp",13
"134","HMK001","Salix lapponum","Cacopsylla brunneipennis","herbivory","spp",14
"135","HMK001","Salix lapponum","Cacopsylla palmeni","herbivory","spp",15
"118","HMK002","Quercus alba","Lymantria dispar","herbivory","spp",16
"123","HMK002","Quercus velutina","Lymantria dispar","herbivory","spp",17
"15","HMK003","Aucuba japonica","Asphondylia aucubae","herbivory","spp",18
"121","HMK004","Quercus spp.","Tortrix viridana","herbivory","spp",19
"16","HMK005","Betula pubescens","Epirrita autumnata","herbivory","spp",21
"23","HMK006","Dendroctonus valens","Corticeus parallelus","predation","spp",22
"24","HMK006","Dendroctonus valens","Enoclerus nigripes","predation","spp",23
"25","HMK006","Dendroctonus valens","Thanasimus dubius","predation","spp",24
"26","HMK006","Dendroctonus valens","Platysoma cylindrica","predation","spp",25
"27","HMK006","Dendroctonus valens","Platysoma parallelum","predation","spp",26
"28","HMK006","Dendroctonus valens","Cucujus clavipes","predation","spp",27
"40","HMK006","Dryocetes autographus","Corticeus parallelus","predation","spp",28
"41","HMK006","Dryocetes autographus","Enoclerus nigripes","predation","spp",29
"42","HMK006","Dryocetes autographus","Platysoma cylindrica","predation","spp",30
"43","HMK006","Dryocetes autographus","Platysoma parallelum","predation","spp",31
"44","HMK006","Dryocetes autographus","Thanasimus dubius","predation","spp",32
"45","HMK006","Dryocetes autographus","Cucujus clavipes","predation","spp",33
"52","HMK006","Gnathotrichus materiarius","Platysoma parallelum","predation","spp",34
"53","HMK006","Gnathotrichus materiarius","Cucujus clavipes","predation","spp",35
"54","HMK006","Gnathotrichus materiarius","Platysoma cylindrica","predation","spp",36
"55","HMK006","Gnathotrichus materiarius","Corticeus parallelus","predation","spp",37
"56","HMK006","Gnathotrichus materiarius","Enoclerus nigripes","predation","spp",38
"57","HMK006","Gnathotrichus materiarius","Thanasimus dubius","predation","spp",39
"59","HMK006","Hylastes porculus","Cucujus clavipes","predation","spp",40
"60","HMK006","Hylastes porculus","Platysoma cylindrica","predation","spp",41
"61","HMK006","Hylastes porculus","Corticeus parallelus","predation","spp",42
"62","HMK006","Hylastes porculus","Enoclerus nigripes","predation","spp",43
"63","HMK006","Hylastes porculus","Thanasimus dubius","predation","spp",44
"64","HMK006","Hylastes porculus","Platysoma parallelum","predation","spp",45
"65","HMK006","Hylurgops rugipennis pinifex","Thanasimus dubius","predation","spp",46
"66","HMK006","Hylurgops rugipennis pinifex","Platysoma parallelum","predation","spp",47
"67","HMK006","Hylurgops rugipennis pinifex","Enoclerus nigripes","predation","spp",48
"68","HMK006","Hylurgops rugipennis pinifex","Corticeus parallelus","predation","spp",49
"69","HMK006","Hylurgops rugipennis pinifex","Cucujus clavipes","predation","spp",50
"70","HMK006","Hylurgops rugipennis pinifex","Platysoma cylindrica","predation","spp",51
"71","HMK006","Ips grandicollis","Corticeus parallelus","predation","spp",52
"72","HMK006","Ips grandicollis","Cucujus clavipes","predation","spp",53
"73","HMK006","Ips grandicollis","Enoclerus nigripes","predation","spp",54
"74","HMK006","Ips grandicollis","Platysoma cylindrica","predation","spp",55
