"","X","studyid","intid","year","spp1","spp2","interaction","neg_phenovalue","neg_slope","pos_phenovalue","pos_slope","phenodiff","phenofreq","intxn"
"435",435,"HMK019",170,1969,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",109.8085,-0.512477668855536,160.305,-0.696012315376935,-50.4965,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"436",436,"HMK019",170,1970,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",124.352,-0.512477668855536,153.324,-0.696012315376935,-28.972,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"437",437,"HMK019",170,1971,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",100.53485,-0.512477668855536,124.8365,-0.696012315376935,-24.30165,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"438",438,"HMK019",170,1972,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",109.654,-0.512477668855536,140.054,-0.696012315376935,-30.4,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"439",439,"HMK019",170,1973,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",76.8018,-0.512477668855536,137.4605,-0.696012315376935,-60.6587,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"440",440,"HMK019",170,1974,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",86.52195,-0.512477668855536,134.959,-0.696012315376935,-48.43705,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"441",441,"HMK019",170,1975,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",98.84105,-0.512477668855536,131.047,-0.696012315376935,-32.20595,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"442",442,"HMK019",170,1976,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",82.2223,-0.512477668855536,142.5315,-0.696012315376935,-60.3092,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"443",443,"HMK019",170,1977,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",94.9844,-0.512477668855536,134.2885,-0.696012315376935,-39.3041,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
"444",444,"HMK019",170,1978,"Phytoplankton1 spp.","Daphnia3 spp.","herbivory",107.708,-0.512477668855536,147.44,-0.696012315376935,-39.732,"daily","Phytoplankton1 spp. Daphnia3 spp. herbivory"
