studyid,site,predictunits,predictvalue,genus,species,genus_2nd,spp_2nd,phenophase,pheno ,phenounits,phenovalue,phenovarunit
EMW001,NA,year,1951,Acartia,tonsa,NA,NA,day of first appearance,start,doy,154.875,NA
EMW001,NA,year,1972,Acartia,tonsa,NA,NA,day of first appearance,start,doy,176,NA
EMW001,NA,year,1973,Acartia,tonsa,NA,NA,day of first appearance,start,doy,173.083,NA
EMW001,NA,year,1976,Acartia,tonsa,NA,NA,day of first appearance,start,doy,178.875,NA
EMW001,NA,year,1981,Acartia,tonsa,NA,NA,day of first appearance,start,doy,187.458,NA
EMW001,NA,year,1982,Acartia,tonsa,NA,NA,day of first appearance,start,doy,172.125,NA
EMW001,NA,year,1983,Acartia,tonsa,NA,NA,day of first appearance,start,doy,177.875,NA
EMW001,NA,year,2001,Acartia,tonsa,NA,NA,day of first appearance,start,doy,176.917,NA
EMW001,NA,year,2002,Acartia,tonsa,NA,NA,day of first appearance,start,doy,169.25,NA
EMW001,NA,year,2003,Acartia,tonsa,NA,NA,day of first appearance,start,doy,180.75,NA
EMW001,NA,year,1950,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,205.667,NA
EMW001,NA,year,1951,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,206.625,NA
EMW001,NA,year,1971,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,210.458,NA
EMW001,NA,year,1972,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,188.458,NA
EMW001,NA,year,1973,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,197.042,NA
EMW001,NA,year,1974,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,195.125,NA
EMW001,NA,year,1975,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,200.875,NA
EMW001,NA,year,1976,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,207.625,NA
EMW001,NA,year,1978,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,200.875,NA
EMW001,NA,year,1983,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,226.75,NA
EMW001,NA,year,1985,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,161.583,NA
EMW001,NA,year,1986,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,137.625,NA
EMW001,NA,year,1999,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,137.625,NA
EMW001,NA,year,2002,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,106.958,NA
EMW001,NA,year,2004,Mnemiopsis,leidyi,NA,NA,day of first appearance,start,doy,176,NA
EMW002,NA,year,2008,Acer,saccharum,NA,NA,stage1budswollen,NA,doy,128.037,NA
EMW002,NA,year,2008,Acer,saccharum,NA,NA,stage2budscaleseparate,start,doy,134.689,NA
EMW002,NA,year,2008,Acer,saccharum,NA,NA,stage4leaffolded,NA,doy,141.384,NA
EMW002,NA,year,2008,Acer,saccharum,NA,NA,stage5leafunfolded,end,doy,147.959,NA
EMW002,NA,year,2009,Acer,saccharum,NA,NA,stage1budswollen,NA,doy,125.998,NA
