rowid,studyid,site,year,phenodiff,genus,species,genus2,species2,fitnesscomp,fitnessunit,gender,fitnessvalue,fitnesstype
1,HMK011,NA,1996,49.7119,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,88,survival
2,HMK011,NA,1997,53.0033,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,84,survival
3,HMK011,NA,1998,43.4561,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,108,survival
4,HMK011,NA,1999,39.5068,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,135,survival
5,HMK011,NA,2000,34.2394,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,131,survival
6,HMK011,NA,2001,49.0507,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,88,survival
7,HMK011,NA,2002,37.5274,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,61,survival
8,HMK011,NA,2003,34.5644,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,81,survival
9,HMK011,NA,2004,32.594,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,102,survival
10,HMK011,NA,2005,45.4308,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,103,survival
11,HMK011,NA,2006,38.5171,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,92,survival
12,HMK011,NA,2007,35.8826,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,95,survival
13,HMK011,NA,2008,41.8079,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,88,survival
14,HMK011,NA,2009,37.2016,Poecile,montanus,NA,NA,number of chicks hatched,number,NA,65,survival
15,HMK011,NA,1996,49.7119,Poecile,montanus,NA,NA,average chick weight,g,NA,84,growth
16,HMK011,NA,1997,53.0033,Poecile,montanus,NA,NA,average chick weight,g,NA,80,growth
17,HMK011,NA,1998,43.4561,Poecile,montanus,NA,NA,average chick weight,g,NA,99,growth
18,HMK011,NA,1999,39.5068,Poecile,montanus,NA,NA,average chick weight,g,NA,125,growth
19,HMK011,NA,2000,34.2394,Poecile,montanus,NA,NA,average chick weight,g,NA,128,growth
20,HMK011,NA,2001,49.0507,Poecile,montanus,NA,NA,average chick weight,g,NA,83,growth
21,HMK011,NA,2002,37.5274,Poecile,montanus,NA,NA,average chick weight,g,NA,57,growth
22,HMK011,NA,2003,34.5644,Poecile,montanus,NA,NA,average chick weight,g,NA,73,growth
23,HMK011,NA,2004,32.594,Poecile,montanus,NA,NA,average chick weight,g,NA,88,growth
24,HMK011,NA,2005,45.4308,Poecile,montanus,NA,NA,average chick weight,g,NA,96,growth
25,HMK011,NA,2006,38.5171,Poecile,montanus,NA,NA,average chick weight,g,NA,87,growth
26,HMK011,NA,2007,35.8826,Poecile,montanus,NA,NA,average chick weight,g,NA,85,growth
27,HMK011,NA,2008,41.8079,Poecile,montanus,NA,NA,average chick weight,g,NA,80,growth
28,HMK011,NA,2009,37.2016,Poecile,montanus,NA,NA,average chick weight,g,NA,62,growth
29,HMK011,NA,1996,49.7119,Poecile,montanus,NA,NA,fledged chicks,number,NA,88,survival
30,HMK011,NA,1997,53.0033,Poecile,montanus,NA,NA,fledged chicks,number,NA,85,survival
31,HMK011,NA,1998,43.4561,Poecile,montanus,NA,NA,fledged chicks,number,NA,109,survival
32,HMK011,NA,1999,39.5068,Poecile,montanus,NA,NA,fledged chicks,number,NA,136,survival
33,HMK011,NA,2000,34.2394,Poecile,montanus,NA,NA,fledged chicks,number,NA,132,survival
34,HMK011,NA,2001,49.0507,Poecile,montanus,NA,NA,fledged chicks,number,NA,88,survival
35,HMK011,NA,2002,37.5274,Poecile,montanus,NA,NA,fledged chicks,number,NA,61,survival
36,HMK011,NA,2003,34.5644,Poecile,montanus,NA,NA,fledged chicks,number,NA,81,survival
37,HMK011,NA,2004,32.594,Poecile,montanus,NA,NA,fledged chicks,number,NA,102,survival
38,HMK011,NA,2005,45.4308,Poecile,montanus,NA,NA,fledged chicks,number,NA,103,survival
39,HMK011,NA,2006,38.5171,Poecile,montanus,NA,NA,fledged chicks,number,NA,91,survival
40,HMK011,NA,2007,35.8826,Poecile,montanus,NA,NA,fledged chicks,number,NA,94,survival
41,HMK011,NA,2008,41.8079,Poecile,montanus,NA,NA,fledged chicks,number,NA,85,survival
42,HMK011,NA,2009,37.2016,Poecile,montanus,NA,NA,fledged chicks,number,NA,64,survival
43,HMK023,nopporo,1999,4,Corydalis,ambigua,NA,NA,seed set,number,NA,0.34,reproduction
44,HMK023,nopporo,2000,1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.41,reproduction
45,HMK023,nopporo,2001,1,Corydalis,ambigua,NA,NA,seed set,number,NA,0.54,reproduction
46,HMK023,nopporo,2002,7,Corydalis,ambigua,NA,NA,seed set,number,NA,0.14,reproduction
