studyid,site,predictunits,predictvalue,genus,species,genus_2nd,spp_2nd,phenophase,pheno,phenounits,phenovalue,phenofreq,phenovarunit,phenovarvalue,fitnesscomp,fitnessunit,fitnessvalue,fitnessvarunit,fitnessvarvalue,
EMW001,NA,year,1951,Acartia,tonsa,NA,NA,day of first appearance,start,doy,154.875,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1972,Acartia,tonsa,NA,NA,day of first appearance,start,doy,176,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1973,Acartia,tonsa,NA,NA,day of first appearance,start,doy,173.083,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1976,Acartia,tonsa,NA,NA,day of first appearance,start,doy,178.875,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1981,Acartia,tonsa,NA,NA,day of first appearance,start,doy,187.458,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1982,Acartia,tonsa,NA,NA,day of first appearance,start,doy,172.125,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1983,Acartia,tonsa,NA,NA,day of first appearance,start,doy,177.875,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,2001,Acartia,tonsa,NA,NA,day of first appearance,start,doy,176.917,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,2002,Acartia,tonsa,NA,NA,day of first appearance,start,doy,169.25,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,2003,Acartia,tonsa,NA,NA,day of first appearance,start,doy,180.75,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1950,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,205.667,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1951,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,206.625,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1971,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,210.458,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1972,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,188.458,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1973,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,197.042,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1974,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,195.125,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1975,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,200.875,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1976,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,207.625,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1978,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,200.875,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1983,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,226.75,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1985,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,161.583,daily,NA,NA,NA,NA,NA,NA,NA,
EMW001,NA,year,1986,Mnemiopsis1,leidyi,NA,NA,day of first appearance,start,doy,137.625,daily,NA,NA,NA,NA,NA,NA,NA,
