studyid,site,predictunits,predictvalue,genus,species,phenophase,pheno ,phenounits,phenovalue
EMW001,NA,year,1951.065,Acartia,tonsa,day of first appearance,start,doy,155.13
EMW001,NA,year,1971.961,Acartia,tonsa,day of first appearance,start,doy,176.968
EMW001,NA,year,1973.002,Acartia,tonsa,day of first appearance,start,doy,174.127
EMW001,NA,year,1975.959,Acartia,tonsa,day of first appearance,start,doy,178.952
EMW001,NA,year,1980.943,Acartia,tonsa,day of first appearance,start,doy,188.134
EMW001,NA,year,1982.965,Acartia,tonsa,day of first appearance,start,doy,179.418
EMW001,NA,year,1981.951,Acartia,tonsa,day of first appearance,start,doy,172.609
EMW001,NA,year,2001.059,Acartia,tonsa,day of first appearance,start,doy,177.959
EMW001,NA,year,2001.951,Acartia,tonsa,day of first appearance,start,doy,169.659
EMW001,NA,year,2002.948,Acartia,tonsa,day of first appearance,start,doy,182.068
EMW001,NA,year,1949.941,Mnemiopsis,leidyi,day of first appearance,start,doy,205.672
EMW001,NA,year,1951.005,Mnemiopsis,leidyi,day of first appearance,start,doy,206.333
EMW001,NA,year,1970.987,Mnemiopsis,leidyi,day of first appearance,start,doy,210.137
EMW001,NA,year,1971.872,Mnemiopsis,leidyi,day of first appearance,start,doy,187.143
EMW001,NA,year,1972.891,Mnemiopsis,leidyi,day of first appearance,start,doy,196.352
EMW001,NA,year,1973.877,Mnemiopsis,leidyi,day of first appearance,start,doy,196.352
EMW001,NA,year,1975.999,Mnemiopsis,leidyi,day of first appearance,start,doy,207.215
EMW001,NA,year,1977.97,Mnemiopsis,leidyi,day of first appearance,start,doy,200.765
EMW001,NA,year,1982.849,Mnemiopsis,leidyi,day of first appearance,start,doy,226.903
EMW001,NA,year,1984.865,Mnemiopsis,leidyi,day of first appearance,start,doy,160.783
EMW001,NA,year,1985.896,Mnemiopsis,leidyi,day of first appearance,start,doy,138.226
EMW001,NA,year,2003.311,Mnemiopsis,leidyi,day of first appearance,start,doy,175.259
EMW001,NA,year,1998.955,Mnemiopsis,leidyi,day of first appearance,start,doy,137.019
EMW001,NA,year,2001.779,Mnemiopsis,leidyi,day of first appearance,start,doy,106.709
EMW002,NA,year,2008,Barypeithes,pellucidus,endabundance,end,doy,183
EMW002,NA,year,2008,Barypeithes,pellucidus,endabundance,end,doy,183
EMW002,NA,year,2009,Barypeithes,pellucidus,endabundance,end,doy,194
EMW002,NA,year,2009,Barypeithes,pellucidus,endabundance,end,doy,194
EMW002,NA,year,2009,Barypeithes,pellucidus,endabundance,end,doy,194
EMW002,NA,year,2009,Phyllobius,oblongus,endabundance,end,doy,194
EMW002,NA,year,2008,Sciaphilus,asperatus,endobs,end,doy,190
EMW002,NA,year,2008,Sciaphilus,asperatus,endobs,end,doy,190
EMW002,NA,year,2008,Sciaphilus,asperatus,endobs,end,doy,190
EMW002,NA,year,2009,Sciaphilus,asperatus,endobs,end,doy,194
EMW002,NA,year,2009,Sciaphilus,asperatus,endobs,end,doy,194
EMW002,NA,year,2009,Sciaphilus,asperatus,endobs,end,doy,194
EMW002,NA,year,2008,Polydrusus,sericeus,endobs,end,doy,190
EMW002,NA,year,2008,Polydrusus,sericeus,endobs,end,doy,190
EMW002,NA,year,2009,Polydrusus,sericeus,endobs,end,doy,194
EMW002,NA,year,2009,Polydrusus,sericeus,endobs,end,doy,194
EMW002,NA,year,2009,Polydrusus,sericeus,endobs,end,doy,194
EMW002,NA,year,2008,Phyllobius,oblongus,endobs,end,doy,190
EMW002,NA,year,2008,Phyllobius,oblongus,endobs,end,doy,190
EMW002,NA,year,2008,Phyllobius,oblongus,endobs,end,doy,190
EMW002,NA,year,2009,Phyllobius,oblongus,endobs,end,doy,194
EMW002,NA,year,2009,Phyllobius,oblongus,endobs,end,doy,194
EMW002,NA,year,2008,Barypeithes,pellucidus,noabundance,start,doy,NA
EMW002,NA,year,2008,Polydrusus,sericeus,noabundance,start,doy,NA
EMW002,NA,year,2008,Barypeithes,pellucidus,peakabundance,peak,doy,168
EMW002,NA,year,2008,Barypeithes,pellucidus,peakabundance,peak,doy,177
EMW002,NA,year,2009,Barypeithes,pellucidus,peakabundance,peak,doy,162
EMW002,NA,year,2009,Barypeithes,pellucidus,peakabundance,peak,doy,162
EMW002,NA,year,2009,Barypeithes,pellucidus,peakabundance,peak,doy,184
EMW002,NA,year,2008,Sciaphilus,asperatus,peakabundance,peak,doy,177
EMW002,NA,year,2008,Sciaphilus,asperatus,peakabundance,peak,doy,177
EMW002,NA,year,2008,Sciaphilus,asperatus,peakabundance,peak,doy,161
EMW002,NA,year,2009,Sciaphilus,asperatus,peakabundance,peak,doy,162
EMW002,NA,year,2009,Sciaphilus,asperatus,peakabundance,peak,doy,162
EMW002,NA,year,2009,Sciaphilus,asperatus,peakabundance,peak,doy,184
EMW002,NA,year,2008,Polydrusus,sericeus,peakabundance,peak,doy,177
EMW002,NA,year,2008,Polydrusus,sericeus,peakabundance,peak,doy,177
EMW002,NA,year,2009,Polydrusus,sericeus,peakabundance,peak,doy,184
EMW002,NA,year,2009,Polydrusus,sericeus,peakabundance,peak,doy,184
EMW002,NA,year,2009,Polydrusus,sericeus,peakabundance,peak,doy,184
EMW002,NA,year,2008,Phyllobius,oblongus,peakabundance,peak,doy,168
EMW002,NA,year,2008,Phyllobius,oblongus,peakabundance,peak,doy,168
EMW002,NA,year,2008,Phyllobius,oblongus,peakabundance,peak,doy,155
EMW002,NA,year,2009,Phyllobius,oblongus,peakabundance,peak,doy,162
EMW002,NA,year,2009,Phyllobius,oblongus,peakabundance,peak,doy,162
EMW002,NA,year,2009,Phyllobius,oblongus,peakabundance,peak,doy,162
EMW002,NA,year,2008,Acer,saccharum,stage1budswollen,NA,doy,128.037
EMW002,NA,year,2009,Acer,saccharum,stage1budswollen,NA,doy,125.998
EMW002,NA,year,2008,Acer,saccharum,stage2budscaleseparate,start,doy,134.689
EMW002,NA,year,2008,Ostrya,virginiana,stage2budscaleseparate,start,doy,127.987
EMW002,NA,year,2009,Ostrya,virginiana,stage2budscaleseparate,start,doy,125.99
EMW002,NA,year,2008,Rubus,spp.,stage3leafvisible,NA,doy,127.982
EMW002,NA,year,2009,Rubus,spp.,stage3leafvisible,NA,doy,126.01
EMW002,NA,year,2008,Acer,saccharum,stage4leaffolded,NA,doy,141.384
EMW002,NA,year,2008,Ostrya,virginiana,stage4leaffolded,NA,doy,134.662
EMW002,NA,year,2008,Ostrya,virginiana,stage4leaffolded,NA,doy,141.365
EMW002,NA,year,2009,Ostrya,virginiana,stage4leaffolded,NA,doy,133.001
EMW002,NA,year,2008,Acer,saccharum,stage5leafunfolded,end,doy,147.959
EMW002,NA,year,2008,Ostrya,virginiana,stage5leafunfolded,end,doy,147.987
EMW002,NA,year,2008,Rubus,spp.,stage5leafunfolded,end,doy,134.661
EMW002,NA,year,2008,Rubus,spp.,stage5leafunfolded,end,doy,141.376
EMW002,NA,year,2008,Rubus,spp.,stage5leafunfolded,end,doy,147.972
EMW002,NA,year,2009,Acer,saccharum,stage5leafunfolded,end,doy,132.953
EMW002,NA,year,2009,Acer,saccharum,stage5leafunfolded,end,doy,139.966
EMW002,NA,year,2009,Ostrya,virginiana,stage5leafunfolded,end,doy,139.982
EMW002,NA,year,2009,Rubus,spp.,stage5leafunfolded,end,doy,133.008
EMW002,NA,year,2009,Rubus,spp.,stage5leafunfolded,end,doy,139.961
EMW002,NA,year,2008,Barypeithes,pellucidus,startabundance,start,doy,161
EMW002,NA,year,2008,Barypeithes,pellucidus,startabundance,start,doy,168
