studyid,genus,species,interaction,role,taxa
HMK001,Cacopsylla,palmeni,herbivory,positive,invertebrate
HMK001,Cacopsylla,brunneipennis,herbivory,positive,invertebrate
HMK001,Salix,lapponum,herbivory,negative,plant
HMK002,Belonocnema,treatae,herbivory,positive,invertebrate
HMK002,Quercus,velutina,herbivory,negative,plant
HMK002,Quercus,alba,herbivory,negative,plant
HMK003,Asphondylia,aucubae,herbivory,positive,invertebrate
HMK003,Aucuba,japonica,herbivory,negative,plant
HMK004,Tortrix,viridana,herbivory,positive,invertebrate
HMK004,Quercus,pubescens,herbivory,negative,plant
HMK004,Quercus,petreae,herbivory,negative,plant
HMK005,Epirrita,autumnata,herbivory,positive,invertebrate
HMK005,Betula,pubescens,herbivory,negative,plant
HMK006,Dendroctonus,valens,competition,negative,invertebrate
HMK006,Dryocetes,autographus,competition,negative,invertebrate
HMK006,Gnathotrichus,materiarius,competition,negative,invertebrate
HMK006,Hylastes,porculus,competition,negative,invertebrate
HMK006,Hylurgops,rugipennis pinifex,competition,negative,invertebrate
HMK006,Ips,grandicollis,competition,negative,invertebrate
HMK006,Ips,pini,competition,negative,invertebrate
HMK006,Monochamus,spp.,competition,negative,invertebrate
HMK006,Orthotomicus,caelatus,competition,negative,invertebrate
HMK006,Pissodes,approximatus,competition,negative,invertebrate
HMK006,Tomicus,piniperda,competition,negative,invertebrate
HMK006,Dendroctonus,valens,predation,negative,invertebrate
HMK006,Dryocetes,autographus,predation,negative,invertebrate
HMK006,Gnathotrichus,materiarius,predation,negative,invertebrate
HMK006,Hylastes,porculus,predation,negative,invertebrate
HMK006,Hylurgops,rugipennis pinifex,predation,negative,invertebrate
HMK006,Ips,grandicollis,predation,negative,invertebrate
HMK006,Ips,pini,predation,negative,invertebrate
HMK006,Monochamus,spp.,predation,negative,invertebrate
HMK006,Orthotomicus,caelatus,predation,negative,invertebrate
HMK006,Pissodes,approximatus,predation,negative,invertebrate
HMK006,Tomicus,piniperda,predation,negative,invertebrate
HMK006,Corticeus,parallelus,predation,positive,invertebrate
HMK006,Cucujus,clavipes,predation,positive,invertebrate
HMK006,Enoclerus,nigripes,predation,positive,invertebrate
HMK006,Platysoma,cylindrica,predation,positive,invertebrate
HMK006,Platysoma,parallelum,predation,positive,invertebrate
HMK006,Thanasimus,dubius,predation,positive,invertebrate
HMK007,Saxifraga,reflexa,competition,negative,plant
HMK007,Saxifraga,tricuspidata,competition,negative,plant
HMK008,Selasphorus,platycercus,pollination,positive,vertebrate
HMK008,Castilleja,tenuiflora,pollination,positive,plant
HMK008,Erythronium,grandiflorum,pollination,positive,plant
HMK008,Delphinium,nuttallianum,pollination,positive,plant
HMK009,Hydrophyllum,macrophyllum,competition,negative,plant
HMK009,Lonicera,maackii,competition,negative,plant
HMK010,Mazzaella,splendens,mutualist,positive,plant
HMK010,Chlorochytrium,spp.,mutualist,positive,plant
HMK010,Codiolum,spp.,mutualist,positive,plant
HMK010,Mastocarpus,papillatus,mutualist,positive,plant
SET005,Uria,aalge,predation,positive,vertebrate
SET005,Ammodytes,marinus,predation,negative,vertebrate
SET005,Alca,torda,predation,positive,vertebrate
SET005,Ammodytes,marinus,predation,negative,vertebrate
SET005,Phalacrocorax,aristotelis,predation,positive,vertebrate
SET005,Ammodytes,marinus,predation,negative,vertebrate
SET005,Rissa, tridactyla,predation,positive,vertebrate
SET005,Ammodytes,marinus,predation,negative,vertebrate
SET005,Fratercula,arctica,predation,positive,vertebrate
SET005,Ammodytes,marinus,predation,negative,vertebrate
SET006,Quercus,robur,herbivory,negative,plant
SET006,Operophtera,brumata,herbivory,positive,invertebrate
SET006,Operophtera,brumata,predation,negative,invertebrate
SET006,Parus,major,predation,positive,vertebrate
kjb001,Tetraneura,spp.,parasitism,positive,invertebrate
kjb001,Ulmus,davidiana,parasitism,negative,
kjb002,Daphnia,hyalina,predation,positive,invertebrate
kjb002,ciliate,spp.,predation,negative,protist
kjb002,phytoplankton,spp.,predation,negative,
kjb003,Curculio,elephas,seed predation,pos,invertebrate
kjb003,Quercus,ilex,seed predation,neg,plant
EMW001,Acartia,tonsa,predation,negative,invertebrate
EMW001,Mnemiopsis,leidyi,predation,positive,invertebrate
EMW002,Acer,saccharum,herbivory,negative,plant
EMW002,Ostrya,virginiana,herbivory,negative,plant
EMW002,Rubus,spp.,herbivory,negative,plant
EMW002,Phyllobius,oblongus,herbivory,positive,invertebrate
EMW002,Polydrusus,sericeus,herbivory,positive,invertebrate
EMW002,Sciaphilus,asperatus,herbivory,positive,invertebrate
EMW002,Barypeithes,pellucidus,herbivory,positive,invertebrate
JEH001,Euphydryas,aurinia,parasitism,negative,invertebrate
JEH001,Cotesia,bignellii,parasitism,positive,invertebrate
JMA001,Epipedobates,femoralis,competition,negative,vertebrate
JMA001,Phyllomedusa,tomopterna,competition,negative,vertebrate
JMA001,Osteocephalus,taurinus,competition,neutral,vertebrate
HMK012,Hormaphis,hamamelidis,herbivory,positive,invertebrate
HMK012,Hamamelis,virginiana,herbivory,negative,plant
HMK013,Cirsium,undulatum,herbivory,negative,plant
HMK013,Rhinocyllus,conicus,herbivory,positive,invertebrate
