"","studyid","species","year","phenovalue","slope","intid","int_type","spp"
"1","EMW001","Acartia tonsa",1951,154.875,0.269528146529995,1,"predation","spp1"
"2","EMW001","Acartia tonsa",1972,176,0.269528146529995,1,"predation","spp1"
"3","EMW001","Acartia tonsa",1973,173.083,0.269528146529995,1,"predation","spp1"
"4","EMW001","Acartia tonsa",1976,178.875,0.269528146529995,1,"predation","spp1"
"5","EMW001","Acartia tonsa",1981,187.458,0.269528146529995,1,"predation","spp1"
"6","EMW001","Acartia tonsa",1982,172.125,0.269528146529995,1,"predation","spp1"
"7","EMW001","Acartia tonsa",1983,177.875,0.269528146529995,1,"predation","spp1"
"8","EMW001","Acartia tonsa",2001,176.917,0.269528146529995,1,"predation","spp1"
"9","EMW001","Acartia tonsa",2002,169.25,0.269528146529995,1,"predation","spp1"
"10","EMW001","Acartia tonsa",2003,180.75,0.269528146529995,1,"predation","spp1"
"11","HMK004","Quercus spp.",1982,99.6054,0.98111071428564,19,"herbivory","spp1"
"12","HMK004","Quercus spp.",1983,92.7749,0.98111071428564,19,"herbivory","spp1"
"13","HMK004","Quercus spp.",1984,100.0908,0.98111071428564,19,"herbivory","spp1"
"14","HMK004","Quercus spp.",1985,107.67,0.98111071428564,19,"herbivory","spp1"
"15","HMK004","Quercus spp.",1986,92.4126,0.98111071428564,19,"herbivory","spp1"
"16","HMK004","Quercus spp.",1987,115.786,0.98111071428564,19,"herbivory","spp1"
"17","HMK004","Quercus spp.",1988,95.9811,0.98111071428564,19,"herbivory","spp1"
"18","HMK006","Dryocetes autographus",1996,140,16.0000000000025,31,"predation","spp1"
"19","HMK006","Dryocetes autographus",1997,156,16.0000000000025,31,"predation","spp1"
"20","HMK006","Dryocetes autographus",1996,140,16.0000000000025,32,"predation","spp1"
"21","HMK006","Dryocetes autographus",1997,156,16.0000000000025,32,"predation","spp1"
"22","HMK006","Dryocetes autographus",1996,140,16.0000000000025,29,"predation","spp1"
"23","HMK006","Dryocetes autographus",1997,156,16.0000000000025,29,"predation","spp1"
"24","HMK006","Dryocetes autographus",1996,140,16.0000000000025,30,"predation","spp1"
"25","HMK006","Dryocetes autographus",1997,156,16.0000000000025,30,"predation","spp1"
"26","HMK006","Dryocetes autographus",1996,140,16.0000000000025,33,"predation","spp1"
"27","HMK006","Dryocetes autographus",1997,156,16.0000000000025,33,"predation","spp1"
"28","HMK006","Dryocetes autographus",1996,140,16.0000000000025,28,"predation","spp1"
"29","HMK006","Dryocetes autographus",1997,156,16.0000000000025,28,"predation","spp1"
"30","HMK006","Dryocetes autographus",1996,140,16.0000000000025,98,"competition","spp1"
"31","HMK006","Dryocetes autographus",1997,156,16.0000000000025,98,"competition","spp1"
"32","HMK006","Dryocetes autographus",1996,140,16.0000000000025,99,"competition","spp1"
"33","HMK006","Dryocetes autographus",1997,156,16.0000000000025,99,"competition","spp1"
"34","HMK006","Dryocetes autographus",1996,140,16.0000000000025,100,"competition","spp1"
"35","HMK006","Dryocetes autographus",1997,156,16.0000000000025,100,"competition","spp1"
"36","HMK006","Dryocetes autographus",1996,140,16.0000000000025,101,"competition","spp1"
"37","HMK006","Dryocetes autographus",1997,156,16.0000000000025,101,"competition","spp1"
