studyid,short_site,site,type,biome,terrestrial,manip_type,sites,duration (max),fitness,big_interaction
EMW001,,Narragansett Bay,observational,M,aquatic,NA,1,54,0,trophic
EMW002,,"near Taylor Lake, Ottawa National Forest, Gogebic Co., Michigan, U.S.A.",observational,Te,terrestrial,NA,1,2,0,trophic
HMK001,,Norway,experimental,NA,NA,C,2,1,0,trophic
HMK002,,"Cape Cod, MA, US",experimental,NA,NA,day,1,2,1,trophic
HMK003,,"Kyoto, Japan",experimental,NA,NA,day,1,2,1,trophic
HMK004,,"Yalta, Crimea, Ukraine",observational,Te,terrestrial,NA,1,6,0,trophic
HMK005,,"Mustaseika, Finland",experimental,NA,NA,day,2,1,1,trophic
HMK006,,Michigan,observational,Te,terrestrial,NA,6,7,0,both
HMK007,,"Munson's Slough Bluff, Alaska",observational,A,terrestrial,NA,1,3,0,non-trophic
HMK008,,"Santa Catalina Mountains, AZ",observational,S,terrestrial,NA,3,26,0,trophic
HMK009,,"Dension University, Granville, OH",observational,Te,terrestrial,NA,2,1,1,non-trophic
HMK010,,"Sooke, Vancouver Island, BC, Canada",observational,M,aquatic,NA,1,2,0,trophic
HMK011,,"Oulu, Finland",observational,B,terrestrial,NA,1,34,0,trophic
HMK012,,"Pennsylvania, US",observational,Te,terrestrial,NA,1,4,1,trophic
HMK013,,Nebraska,observational,Te,terrestrial,NA,2,4,0,trophic
HMK014,,"Hongyuan County, Sichuan Province, China",experimental,NA,NA,C,1,2,0,trophic
HMK015,,"Mirandela, Portugal",observational,S,terrestrial,NA,1,2,0,trophic
HMK016,,"Teuri Island, Japan Sea",observational,M,aquatic,NA,1,18,0,trophic
HMK017,,"Adventdalen, Spitsbergen, Svalbard",experimental,NA,NA,C,1,2,0,trophic
HMK018,,"Cape Shirreff, Livingston Island, Antarctica",observational,A,terrestrial,NA,3,15,0,non-trophic
HMK019,,"North Basin, Windermere, UK",observational,M,aquatic,NA,2,39,0,trophic
HMK020,,"Freiburg, Germany",observational,Te,terrestrial,NA,1,3,0,trophic
HMK021,,"Central Otago, New Zealand",observational,Te,terrestrial,NA,1,2,0,trophic
HMK022,,Netherlands,experimental,NA,NA,C,1,1,0,trophic
HMK023,,"Nopporo Forest Park, Sapporo, Japan",observational,Te,terrestrial,NA,3,13,1,trophic
HMK026,,"Kangerlussuaq, West Greenland",observational,A,terrestrial,NA,NA,NA,NA,trophic
HMK027,,Czech Republic,observational,Te,terrestrial,NA,NA,NA,NA,trophic
HMK028,,"Wytham wood, Oxford, UK",observational,Te,terrestrial,NA,NA,NA,NA,trophic
HMK029,,"Lake Washington, WA, US",observational,F,aquatic,NA,NA,NA,NA,trophic
HMK030,,"Kangerlussuaq, West Greenland",observational,A,terrestrial,NA,NA,NA,NA,trophic
HMK031,,"Berlin, Germany",observational,M,aquatic,NA,NA,NA,NA,trophic
HMK032,,"English Lake District, Cumbria",observational,M,aquatic,NA,NA,NA,NA,trophic
HMK033,,"RBML, CO",observational,A,terrestrial,NA,NA,NA,NA,trophic
HMK034,,"Lake Constance, Germany",observational,F,aquatic,NA,NA,NA,NA,trophic
HMK035,,"Narragansett Bay, MA",observational,M,aquatic,NA,NA,NA,NA,trophic
HMK036,,"North Sea, Helgoland Roads",observational,M,aquatic,NA,NA,NA,NA,trophic
HMK037,washington,"Lake Washington, WA, US",observational,F,aquatic,NA,NA,NA,NA,trophic
HMK038,czech,Czech Republic,observational,Te,terrestrial,NA,NA,NA,NA,trophic
HMK039,,NA,observational,A,terrestrial,NA,NA,NA,NA,non-trophic
HMK040,,NA,experimental,F,aquatic,NA,NA,NA,NA,NA
HMK041,,NA,experimental,F,aquatic,NA,NA,NA,NA,NA
HMK042,,NA,observational,Te,terrestrial,NA,NA,NA,NA,non-trophic
HMK043,,NA,observational,M,aquatic,NA,NA,NA,NA,trophic
HMK044,,NA,experimental,Te,terrestrial,NA,NA,NA,NA,NA
HMK048,,Netherlands,observational,Te,terrestrial,NA,NA,NA,0,trophic
JEH001,,"Wytham, UK",experimental,NA,NA,C,1,1,1,trophic
JMA002,,"Manaus, Brazil",experimental,NA,NA,day,1,1,1,non-trophic
KJB001,,"Sapporo, Japan",experimental,NA,NA,day,1,1,1,trophic
KJB003,,"Cabaneros National Park, Spain",observational,S,terrestrial,NA,1,3,1,trophic
SET005,,North Sea,observational,M,aquatic,NA,1,23,0,trophic
SET006,,"Wytham wood, Oxford, UK",experimental,NA,NA,both,1,1,1,trophic
