studyid,genus,species,interaction,role,taxa,taxa2,taxatype
EMW001,Acartia,tonsa,predation,negative,invertebrate,arthropod,spp
EMW001,Mnemiopsis1,leidyi,predation,positive,invertebrate,ctenophore,spp
EMW002,Acer,saccharum,herbivory,negative,plant,tree,spp
EMW002,Barypeithes,pellucidus,herbivory,positive,invertebrate,insect,spp
EMW002,Ostrya,virginiana,herbivory,negative,plant,tree,spp
EMW002,Phyllobius,oblongus,herbivory,positive,invertebrate,insec,spp
EMW002,Polydrusus,sericeus,herbivory,positive,invertebrate,insect,spp
EMW002,Rubus,spp.,herbivory,negative,plant,herbaceous,spp
EMW002,Sciaphilus,asperatus,herbivory,positive,invertebrate,insect,spp
HMK001,Cacopsylla,brunneipennis,herbivory,positive,invertebrate,insect,spp
HMK001,Cacopsylla,palmeni,herbivory,positive,invertebrate,insect,spp
HMK001,Salix,lapponum,herbivory,negative,plant,tree,spp
HMK002,Lymantria,dispar,herbivory,positive,invertebrate,insect,spp
HMK002,Quercus,alba,herbivory,negative,plant,tree,spp
HMK002,Quercus,velutina,herbivory,negative,plant,tree,spp
HMK003,Asphondylia,aucubae,herbivory,positive,invertebrate,insect,spp
HMK003,Aucuba,japonica,herbivory,negative,plant,shrub,spp
HMK004,Quercus,petreae,herbivory,negative,plant,tree,spp
HMK004,Quercus,pubescens,herbivory,negative,plant,tree,spp
HMK004,Tortrix,viridana,herbivory,positive,invertebrate,insect,spp
HMK005,Betula,pubescens,herbivory,negative,plant,tree,spp
HMK005,Epirrita,autumnata,herbivory,positive,invertebrate,insect,spp
HMK006,Corticeus,parallelus,predation,positive,invertebrate,insect,spp
HMK006,Cucujus,clavipes,predation,positive,invertebrate,insect,spp
HMK006,Dendroctonus,valens,competition,negative,invertebrate,insect,spp
HMK006,Dendroctonus,valens,predation,negative,invertebrate,insect,spp
HMK006,Dryocetes,autographus,competition,negative,invertebrate,insect,spp
HMK006,Dryocetes,autographus,predation,negative,invertebrate,insect,spp
HMK006,Enoclerus,nigripes,predation,positive,invertebrate,insect,spp
HMK006,Gnathotrichus,materiarius,competition,negative,invertebrate,insect,spp
HMK006,Gnathotrichus,materiarius,predation,negative,invertebrate,insect,spp
HMK006,Hylastes,porculus,competition,negative,invertebrate,insect,spp
HMK006,Hylastes,porculus,predation,negative,invertebrate,insect,spp
HMK006,Hylurgops,rugipennis pinifex,competition,negative,invertebrate,insect,spp
HMK006,Hylurgops,rugipennis pinifex,predation,negative,invertebrate,insect,spp
HMK006,Ips,grandicollis,competition,negative,invertebrate,insect,spp
HMK006,Ips,grandicollis,predation,negative,invertebrate,insect,spp
HMK006,Ips,pini,competition,negative,invertebrate,insect,spp
HMK006,Ips,pini,predation,negative,invertebrate,insect,spp
HMK006,Monochamus,spp.,competition,negative,invertebrate,insect,spp
HMK006,Monochamus,spp.,predation,negative,invertebrate,insect,spp
HMK006,Orthotomicus,caelatus,competition,negative,invertebrate,insect,spp
HMK006,Orthotomicus,caelatus,predation,negative,invertebrate,insect,spp
HMK006,Pissodes,approximatus,competition,negative,invertebrate,insect,spp
HMK006,Pissodes,approximatus,predation,negative,invertebrate,insect,spp
HMK006,Platysoma,cylindrica,predation,positive,invertebrate,insect,spp
HMK006,Platysoma,parallelum,predation,positive,invertebrate,insect,spp
HMK006,Thanasimus,dubius,predation,positive,invertebrate,insect,spp
HMK006,Tomicus,piniperda,competition,negative,invertebrate,insect,spp
HMK006,Tomicus,piniperda,predation,negative,invertebrate,insect,spp
HMK007,Saxifraga,reflexa,competition,negative,plant,herbaceous,spp
HMK007,Saxifraga,tricuspidata,competition,negative,plant,herbaceous,spp
HMK008,Castilleja,tenuiflora,poll,negative,plant,herbaceous,spp
HMK008,Delphinium,nuttallianum,poll,negative,plant,perennial,spp
