"","studyid","year","envvalue","z","envfactor","X","species","phenovalue","slope","intid","int_type","spp"
"3","EMW001",1951,-1.99052,-0.40370470101072,"temperature",1,"Acartia tonsa",154.875,0.269528146529995,1,"predation","spp1"
"6","EMW001",1972,0.094787,-0.0473885990574894,"temperature",2,"Acartia tonsa",176,0.269528146529995,1,"predation","spp1"
"7","EMW001",1973,1.23223,0.14696611991386,"temperature",3,"Acartia tonsa",173.083,0.269528146529995,1,"predation","spp1"
"11","EMW001",1976,4.07583,0.632851635818332,"temperature",4,"Acartia tonsa",178.875,0.269528146529995,1,"predation","spp1"
"14","EMW001",1981,-4.07583,-0.760021315573512,"temperature",5,"Acartia tonsa",187.458,0.269528146529995,1,"predation","spp1"
"15","EMW001",1982,15.0711,2.51161181181319,"temperature",6,"Acartia tonsa",172.125,0.269528146529995,1,"predation","spp1"
"17","EMW001",1983,2.36967,0.341320326275649,"temperature",7,"Acartia tonsa",177.875,0.269528146529995,1,"predation","spp1"
"21","EMW001",2001,5.97156,0.956774743521802,"temperature",8,"Acartia tonsa",176.917,0.269528146529995,1,"predation","spp1"
"23","EMW001",2002,9.00474,1.4750537662856,"temperature",9,"Acartia tonsa",169.25,0.269528146529995,1,"predation","spp1"
"24","EMW001",2003,9.00474,1.4750537662856,"temperature",10,"Acartia tonsa",180.75,0.269528146529995,1,"predation","spp1"
"1","EMW001",1950,6.16114,0.989168250381124,"temperature",1828,"Mnemiopsis1 leidyi",205.667,-1.43251570048309,1,"predation","spp2"
"2","EMW001",1951,-1.99052,-0.40370470101072,"temperature",1829,"Mnemiopsis1 leidyi",206.625,-1.43251570048309,1,"predation","spp2"
"4","EMW001",1971,6.16114,0.989168250381124,"temperature",1830,"Mnemiopsis1 leidyi",210.458,-1.43251570048309,1,"predation","spp2"
"5","EMW001",1972,0.094787,-0.0473885990574894,"temperature",1831,"Mnemiopsis1 leidyi",188.458,-1.43251570048309,1,"predation","spp2"
"8","EMW001",1973,1.23223,0.14696611991386,"temperature",1832,"Mnemiopsis1 leidyi",197.042,-1.43251570048309,1,"predation","spp2"
"9","EMW001",1974,4.07583,0.632851635818332,"temperature",1833,"Mnemiopsis1 leidyi",195.125,-1.43251570048309,1,"predation","spp2"
"10","EMW001",1975,-4.07583,-0.760021315573512,"temperature",1834,"Mnemiopsis1 leidyi",200.875,-1.43251570048309,1,"predation","spp2"
"12","EMW001",1976,4.07583,0.632851635818332,"temperature",1835,"Mnemiopsis1 leidyi",207.625,-1.43251570048309,1,"predation","spp2"
"13","EMW001",1978,0.094787,-0.0473885990574894,"temperature",1836,"Mnemiopsis1 leidyi",200.875,-1.43251570048309,1,"predation","spp2"
"16","EMW001",1983,2.36967,0.341320326275649,"temperature",1837,"Mnemiopsis1 leidyi",226.75,-1.43251570048309,1,"predation","spp2"
"18","EMW001",1985,-4.83412,-0.889590216915192,"temperature",1838,"Mnemiopsis1 leidyi",161.583,-1.43251570048309,1,"predation","spp2"
"19","EMW001",1986,-2.74882,-0.533275311050937,"temperature",1839,"Mnemiopsis1 leidyi",137.625,-1.43251570048309,1,"predation","spp2"
"20","EMW001",1999,-2.93839,-0.565667109211723,"temperature",1840,"Mnemiopsis1 leidyi",137.625,-1.43251570048309,1,"predation","spp2"
"22","EMW001",2002,9.00474,1.4750537662856,"temperature",1841,"Mnemiopsis1 leidyi",106.958,-1.43251570048309,1,"predation","spp2"
"1004","HMK011",1996,0.772973,-0.94870205102848,"temperature",354,"Epirrita autumnata",180.4596,-1.02194901098901,155,"herbivory","spp1"
"1005","HMK011",1997,-0.847297,-2.24387346692987,"temperature",355,"Epirrita autumnata",192.649,-1.02194901098901,155,"herbivory","spp1"
"1007","HMK011",1998,0.881081,-0.862285347991166,"temperature",356,"Epirrita autumnata",178.8317,-1.02194901098901,155,"herbivory","spp1"
"1009","HMK011",1999,2.5,0.431806138896617,"temperature",357,"Epirrita autumnata",169.9526,-1.02194901098901,155,"herbivory","spp1"
"1011","HMK011",2000,2.635135,0.539827017693259,"temperature",358,"Epirrita autumnata",166.9974,-1.02194901098901,155,"herbivory","spp1"
"1014","HMK011",2001,1.141892,-0.653804692203761,"temperature",359,"Epirrita autumnata",182.1512,-1.02194901098901,155,"herbivory","spp1"
"1016","HMK011",2002,3.821622,1.48825169243179,"temperature",360,"Epirrita autumnata",165.3688,-1.02194901098901,155,"herbivory","spp1"
"1017","HMK011",2003,2.672973,0.570073023627379,"temperature",361,"Epirrita autumnata",170.6461,-1.02194901098901,155,"herbivory","spp1"
"1020","HMK011",2004,3.066216,0.884413900828902,"temperature",362,"Epirrita autumnata",162.4261,-1.02194901098901,155,"herbivory","spp1"
"1022","HMK011",2005,1.478378,-0.384832823903419,"temperature",363,"Epirrita autumnata",176.9202,-1.02194901098901,155,"herbivory","spp1"
"1023","HMK011",2006,2.491892,0.425324966104349,"temperature",364,"Epirrita autumnata",168.3689,-1.02194901098901,155,"herbivory","spp1"
"1026","HMK011",2007,3.294595,1.06696986544723,"temperature",365,"Epirrita autumnata",167.391,-1.02194901098901,155,"herbivory","spp1"
"1027","HMK011",2008,1.952703,-0.00567862006860801,"temperature",366,"Epirrita autumnata",172.6669,-1.02194901098901,155,"herbivory","spp1"
"1029","HMK011",2009,1.917568,-0.0337639686202047,"temperature",367,"Epirrita autumnata",170.7021,-1.02194901098901,155,"herbivory","spp1"
"982","HMK011",1975,3.525676,1.25168568809279,"temperature",2215,"Poecile montanus",132.8617,-0.139610336134454,155,"herbivory","spp2"
"983","HMK011",1976,1.128378,-0.664607179761077,"temperature",2216,"Poecile montanus",137.4798,-0.139610336134454,155,"herbivory","spp2"
"984","HMK011",1977,1.008108,-0.760745641986793,"temperature",2217,"Poecile montanus",139.7928,-0.139610336134454,155,"herbivory","spp2"
"985","HMK011",1978,0.395946,-1.25008058264547,"temperature",2218,"Poecile montanus",140.7895,-0.139610336134454,155,"herbivory","spp2"
"986","HMK011",1979,0.648649,-1.04808109965033,"temperature",2219,"Poecile montanus",135.861,-0.139610336134454,155,"herbivory","spp2"
"987","HMK011",1980,0.944595,-0.811515095311328,"temperature",2220,"Poecile montanus",131.2604,-0.139610336134454,155,"herbivory","spp2"
"988","HMK011",1981,0.675676,-1.026476923891,"temperature",2221,"Poecile montanus",137.5253,-0.139610336134454,155,"herbivory","spp2"
"989","HMK011",1982,2.659459,0.559270536070063,"temperature",2222,"Poecile montanus",136.8767,-0.139610336134454,155,"herbivory","spp2"
"990","HMK011",1983,4.295946,1.8674050969113,"temperature",2223,"Poecile montanus",130.9592,-0.139610336134454,155,"herbivory","spp2"
"991","HMK011",1984,1.952703,-0.00567862006860801,"temperature",2224,"Poecile montanus",129.3208,-0.139610336134454,155,"herbivory","spp2"
"992","HMK011",1985,0.224324,-1.38726753836262,"temperature",2225,"Poecile montanus",137.8903,-0.139610336134454,155,"herbivory","spp2"
"993","HMK011",1986,2.974324,0.810959543376125,"temperature",2226,"Poecile montanus",131.3157,-0.139610336134454,155,"herbivory","spp2"
"994","HMK011",1987,1.132432,-0.661366593364943,"temperature",2227,"Poecile montanus",135.2748,-0.139610336134454,155,"herbivory","spp2"
"995","HMK011",1988,1.060811,-0.718617219481747,"temperature",2228,"Poecile montanus",138.906,-0.139610336134454,155,"herbivory","spp2"
"996","HMK011",1989,4.248649,1.8295979891713,"temperature",2229,"Poecile montanus",125.4171,-0.139610336134454,155,"herbivory","spp2"
"997","HMK011",1990,3.455405,1.19551419163429,"temperature",2230,"Poecile montanus",128.3899,-0.139610336134454,155,"herbivory","spp2"
"998","HMK011",1991,1.12973,-0.663526451392164,"temperature",2231,"Poecile montanus",137.6164,-0.139610336134454,155,"herbivory","spp2"
"999","HMK011",1992,1.817568,-0.11369949886525,"temperature",2232,"Poecile montanus",138.6125,-0.139610336134454,155,"herbivory","spp2"
"1000","HMK011",1993,3.739189,1.42235843678489,"temperature",2233,"Poecile montanus",131.3802,-0.139610336134454,155,"herbivory","spp2"
"1001","HMK011",1994,2.133784,0.139069437454422,"temperature",2234,"Poecile montanus",133.6945,-0.139610336134454,155,"herbivory","spp2"
"1002","HMK011",1995,1.662162,-0.237924108997865,"temperature",2235,"Poecile montanus",139.3003,-0.139610336134454,155,"herbivory","spp2"
"1003","HMK011",1996,0.772973,-0.94870205102848,"temperature",2236,"Poecile montanus",130.7477,-0.139610336134454,155,"herbivory","spp2"
"1006","HMK011",1997,-0.847297,-2.24387346692987,"temperature",2237,"Poecile montanus",139.6457,-0.139610336134454,155,"herbivory","spp2"
"1008","HMK011",1998,0.881081,-0.862285347991166,"temperature",2238,"Poecile montanus",135.3756,-0.139610336134454,155,"herbivory","spp2"
"1010","HMK011",1999,2.5,0.431806138896617,"temperature",2239,"Poecile montanus",130.4458,-0.139610336134454,155,"herbivory","spp2"
"1012","HMK011",2000,2.635135,0.539827017693259,"temperature",2240,"Poecile montanus",132.758,-0.139610336134454,155,"herbivory","spp2"
"1013","HMK011",2001,1.141892,-0.653804692203761,"temperature",2241,"Poecile montanus",133.1005,-0.139610336134454,155,"herbivory","spp2"
"1015","HMK011",2002,3.821622,1.48825169243179,"temperature",2242,"Poecile montanus",127.8414,-0.139610336134454,155,"herbivory","spp2"
"1018","HMK011",2003,2.672973,0.570073023627379,"temperature",2243,"Poecile montanus",136.0817,-0.139610336134454,155,"herbivory","spp2"
"1019","HMK011",2004,3.066216,0.884413900828902,"temperature",2244,"Poecile montanus",129.8321,-0.139610336134454,155,"herbivory","spp2"
"1021","HMK011",2005,1.478378,-0.384832823903419,"temperature",2245,"Poecile montanus",131.4894,-0.139610336134454,155,"herbivory","spp2"
"1024","HMK011",2006,2.491892,0.425324966104349,"temperature",2246,"Poecile montanus",129.8518,-0.139610336134454,155,"herbivory","spp2"
"1025","HMK011",2007,3.294595,1.06696986544723,"temperature",2247,"Poecile montanus",131.5084,-0.139610336134454,155,"herbivory","spp2"
"1028","HMK011",2008,1.952703,-0.00567862006860801,"temperature",2248,"Poecile montanus",130.859,-0.139610336134454,155,"herbivory","spp2"
"1030","HMK011",2009,1.917568,-0.0337639686202047,"temperature",2249,"Poecile montanus",133.5005,-0.139610336134454,155,"herbivory","spp2"
"25","HMK016",1992,0.430769,0.421579196160684,"temperature",2264,"Cerorhinca monocerata",142.307,0.623592857142876,165,"predation","spp2"
"27","HMK016",1993,0.738462,0.722708032275328,"temperature",2265,"Cerorhinca monocerata",143.258,0.623592857142876,165,"predation","spp2"
"28","HMK016",1994,-0.676923,-0.662481873585793,"temperature",2266,"Cerorhinca monocerata",146.082,0.623592857142876,165,"predation","spp2"
"30","HMK016",1995,0.307692,0.301127857448129,"temperature",2267,"Cerorhinca monocerata",139.568,0.623592857142876,165,"predation","spp2"
"31","HMK016",1996,-0.276923,-0.271015267436619,"temperature",2268,"Cerorhinca monocerata",147.521,0.623592857142876,165,"predation","spp2"
"33","HMK016",1997,-0.8,-0.782933212298348,"temperature",2269,"Cerorhinca monocerata",153.142,0.623592857142876,165,"predation","spp2"
"35","HMK016",1998,0.707692,0.692594463597303,"temperature",2270,"Cerorhinca monocerata",145.695,0.623592857142876,165,"predation","spp2"
