"datasetid","lmfit","data$stanfit","idshere"
"HMK011 _ 1",0.145461852747253,0.0806779144963899,"HMK011 _ 1"
"HMK011 _ 2",0.153095685714286,0.0813448455658554,"HMK011 _ 2"
"HMK016 _ 14",-0.0472296451048951,0.0667763681481005,"HMK016 _ 14"
"HMK018 _ 15",0.0997549019607843,0.0771086532261138,"HMK018 _ 15"
"HMK019 _ 3",0.057921545960849,0.0662553108091251,"HMK019 _ 3"
"HMK019 _ 4",0.0598350550384441,0.0669792830613077,"HMK019 _ 4"
"HMK023 _ 10",-0.048695970701099,0.0625382198801374,"HMK023 _ 10"
"HMK031 _ 11",0.0948953461538461,0.0804496644438908,"HMK031 _ 11"
"HMK034 _ 12",0.00426340338042377,0.0657658672435547,"HMK034 _ 12"
"HMK036 _ 17",0.0578704807261317,0.0673426454457371,"HMK036 _ 17"
"HMK038 _ 5",0.111575407179487,0.0854769817580003,"HMK038 _ 5"
"HMK038 _ 6",0.125067802735043,0.0906127651016489,"HMK038 _ 6"
"HMK042 _ 18",0.0909853107344631,0.0795840343732333,"HMK042 _ 18"
"HMK043 _ 13",0.00199058326567241,0.0474632288789347,"HMK043 _ 13"
"HMK051 _ 7",0.145461835479121,0.0802125200895695,"HMK051 _ 7"
"HMK051 _ 8",0.153731684982418,0.081779517006443,"HMK051 _ 8"
"HMK051 _ 9",0.147980769228572,0.0798785778399537,"HMK051 _ 9"
"HMK052 _ 16",-0.0483333333333333,0.0705516618557793,"HMK052 _ 16"
