> print(null.model, pars = c("mu_b", "sigma_y", "a", "b"))
Inference for Stan model: twolevelrandomslope2.
4 chains, each with iter=12000; warmup=6000; thin=1; 
post-warmup draws per chain=6000, total post-warmup draws=24000.

          mean se_mean    sd   2.5%    25%    50%    75%  97.5% n_eff Rhat
mu_b     -0.27    0.00  0.20  -0.64  -0.40  -0.27  -0.14   0.14 11124    1
sigma_y  10.51    0.00  0.42   9.71  10.21  10.49  10.79  11.36 24000    1
a[1]    139.38    0.09 13.43 111.66 131.03 139.60 147.96 165.67 24000    1
a[2]    150.58    0.09 13.30 124.30 142.13 150.44 158.89 177.55 24000    1
a[3]    144.40    0.03  4.44 135.54 141.43 144.42 147.42 153.04 24000    1
a[4]    119.11    0.04  6.18 106.70 114.97 119.26 123.28 131.03 24000    1
a[5]    123.40    0.04  6.89 109.37 118.90 123.49 128.02 136.74 24000    1
a[6]    118.93    0.04  6.29 106.24 114.77 119.07 123.23 130.89 24000    1
a[7]    128.71    0.10 15.25  96.77 119.46 128.99 138.31 158.83 24000    1
a[8]    150.93    0.10 15.99 117.45 141.29 151.54 161.11 181.36 24000    1
a[9]    140.69    0.09 14.48 111.06 131.66 140.95 149.87 169.22 24000    1
a[10]   144.56    0.03  4.50 135.51 141.55 144.63 147.62 153.20 24000    1
a[11]   142.69    0.16 18.39 101.10 132.52 144.46 154.92 174.10 13087    1
a[12]   174.45    0.10 16.00 144.45 164.26 173.61 183.93 208.69 24000    1
a[13]   151.08    0.07 10.23 132.03 144.20 150.62 157.53 172.47 24000    1
a[14]   121.15    0.11 17.13  83.75 111.22 122.41 132.34 152.27 24000    1
a[15]    61.64    0.10 15.30  28.84  52.53  62.47  71.45  90.04 24000    1
a[16]   103.83    0.11 16.80  67.44  94.19 105.01 114.79 133.89 24000    1
a[17]   134.82    0.04  6.58 122.30 130.35 134.72 139.14 148.15 24000    1
a[18]   137.66    0.08  7.57 123.52 132.41 137.53 142.69 152.97  8637    1
a[19]   123.83    0.04  6.90 110.12 119.24 124.00 128.49 137.15 24000    1
a[20]   131.59    0.09 14.01 101.10 123.18 132.52 140.83 157.31 24000    1
a[21]   156.41    0.10  7.45 141.96 151.26 156.35 161.40 171.23  6090    1
a[22]   139.93    0.05  7.02 126.53 135.09 139.78 144.57 154.17 24000    1
a[23]   162.80    0.04  6.20 150.47 158.71 162.87 166.93 175.03 24000    1
a[24]   107.05    0.04  6.05  95.00 102.99 107.11 111.07 118.87 24000    1
a[25]   122.52    0.04  6.34 109.50 118.46 122.69 126.82 134.57 24000    1
a[26]   147.07    0.06  9.85 127.43 140.61 147.18 153.56 166.40 24000    1
a[27]   109.08    0.06 10.05  89.56 102.46 108.87 115.52 129.32 24000    1
a[28]   116.44    0.09 14.42  88.55 107.22 116.12 125.45 145.80 24000    1
a[29]   140.54    0.10 16.16 106.48 130.84 141.27 150.96 170.90 24000    1
a[30]   109.06    0.04  6.33  96.47 104.87 109.17 113.37 121.17 24000    1
a[31]   131.22    0.09 14.09 100.91 122.76 132.27 140.74 156.21 24000    1
b[1]     -0.22    0.00  0.61  -1.43  -0.60  -0.24   0.15   1.06 24000    1
b[2]     -0.39    0.00  0.61  -1.63  -0.76  -0.38   0.00   0.84 24000    1
b[3]     -0.36    0.00  0.31  -0.96  -0.57  -0.36  -0.16   0.24 24000    1
b[4]      0.11    0.00  0.36  -0.56  -0.14   0.10   0.34   0.83 24000    1
b[5]     -0.12    0.00  0.39  -0.88  -0.38  -0.12   0.14   0.68 24000    1
b[6]      0.11    0.00  0.36  -0.58  -0.14   0.10   0.34   0.85 24000    1
b[7]     -0.23    0.00  0.67  -1.56  -0.64  -0.25   0.17   1.17 24000    1
b[8]     -0.14    0.00  0.69  -1.46  -0.57  -0.17   0.26   1.31 24000    1
b[9]     -0.27    0.00  0.64  -1.53  -0.67  -0.28   0.12   1.04 24000    1
b[10]     0.01    0.00  0.31  -0.58  -0.20   0.01   0.22   0.64 24000    1
b[11]     0.18    0.01  0.77  -1.13  -0.34   0.09   0.59   1.97 12518    1
b[12]    -0.56    0.00  0.68  -2.05  -0.95  -0.52  -0.13   0.72 24000    1
b[13]    -0.65    0.00  0.52  -1.74  -0.97  -0.62  -0.30   0.32 24000    1
b[14]    -0.01    0.00  0.72  -1.30  -0.47  -0.07   0.40   1.60 24000    1
b[15]    -0.06    0.00  0.67  -1.30  -0.49  -0.10   0.33   1.39 24000    1
b[16]     0.06    0.00  0.72  -1.22  -0.41   0.00   0.47   1.65 24000    1
b[17]    -0.79    0.00  0.39  -1.60  -1.05  -0.78  -0.52  -0.06 24000    1
b[18]    -1.11    0.00  0.43  -1.98  -1.40  -1.10  -0.81  -0.30  7855    1
