"","species","time_length","phenochange","min","max","names"
"1",1,5,-0.0104480254640617,-0.247364066169491,0.213374728663759,5.1
"10",10,5,-0.00626486172519352,-0.25017353897532,0.226703181169568,5.1
"11",11,5,-0.00321050014011444,-0.259373700965939,0.240917779753776,5.11
"12",12,5,0.00224790681275018,-0.258114784019197,0.254266406931592,5.12
"13",13,5,-0.00405011365147319,-0.289671599769711,0.263307456909792,5.13
"14",14,5,0.00670352804601365,-0.230630080308952,0.260088238344793,5.14
"15",15,5,0.0132019059707068,-0.235751906718902,0.291768745900471,5.15
"16",16,5,0.0112596227020514,-0.252504326687673,0.311509376640852,5.16
"17",17,5,0.0381935801380755,-0.170804390809718,0.327109650206762,5.17
"18",18,5,-0.0132987624959046,-0.289356895772402,0.23043189020659,5.18
"19",19,5,-0.0321542888450956,-0.326542976730524,0.184921850472779,5.19
"2",2,5,-0.0350602302806146,-0.350231587255442,0.194468882580722,5.2
"20",20,5,0.00205844887509358,-0.27080277350214,0.270711467040781,5.2
"21",21,5,0.00210131039588155,-0.239426631894219,0.258121026349869,5.21
"22",22,5,0.0107109961672904,-0.241147203366069,0.288463283672317,5.22
"23",23,5,0.0146441478125492,-0.207941129230656,0.273680511590783,5.23
"24",24,5,-0.0124508808000749,-0.282276176454703,0.236323165965816,5.24
"25",25,5,0.0133007393434434,-0.222252744231198,0.288090103620121,5.25
"26",26,5,0.0086751440756575,-0.243551490589352,0.268293557773742,5.26
"27",27,5,-0.00341830997899337,-0.268229928067629,0.268027881275099,5.27
"28",28,5,-0.00371040733867772,-0.266118491877351,0.239396464123952,5.28
"29",29,5,0.0333884530535285,-0.17707352775307,0.315930090215124,5.29
"3",3,5,-0.0134596544653839,-0.273171159686361,0.225733591773839,5.3
"30",30,5,-0.0122804085583395,-0.28056436962053,0.226828962087733,5.3
"31",31,5,0.0422761095979155,-0.181755117659638,0.374757795337931,5.31
"32",32,5,0.0414705230603893,-0.170909043070038,0.340909644242205,5.32
"33",33,5,0.00940093147403076,-0.243299724102782,0.288214339901733,5.33
"34",34,5,0.0139380895416682,-0.230005812968738,0.281851909631651,5.34
"35",35,5,-0.015905368032603,-0.268277114055158,0.203888729103822,5.35
"36",36,5,-0.0435380361734149,-0.329809323444046,0.163855234376666,5.36
"37",37,5,-0.000786755782419358,-0.233523534332465,0.228224205065664,5.37
"38",38,5,-0.0216800217363642,-0.291223131149036,0.196479566743489,5.38
"39",39,5,-0.0046346919351334,-0.263386886474105,0.235619235118607,5.39
"4",4,5,-0.0150796621123068,-0.292890230854895,0.218393234291004,5.4
"40",40,5,0.0124738762271317,-0.22156903667573,0.280723796409208,5.4
"41",41,5,-0.0315480741677451,-0.335757149270973,0.194245506644977,5.41
"42",42,5,-0.0373587848337921,-0.348398535950928,0.191564853726464,5.42
"43",43,5,0.0113463060269473,-0.232909399801363,0.280538635653357,5.43
"44",44,5,-0.00375980367922656,-0.254131514383008,0.232772491850591,5.44
"45",45,5,-0.0128955461399776,-0.294829900285634,0.233425697283178,5.45
"46",46,5,0.0327587110323298,-0.186176486889572,0.312444085105819,5.46
"47",47,5,0.0435233141349168,-0.18223843701087,0.372502977337889,5.47
"48",48,5,-0.00468386257341321,-0.258647757539353,0.242421905055839,5.48
"49",49,5,0.0171259414412435,-0.222746840522889,0.287881338680625,5.49
"5",5,5,0.0152078959496522,-0.20593013896913,0.278091930385408,5.5
"50",50,5,0.0166842092439416,-0.232061319884277,0.3047246198361,5.5
"51",51,5,-0.0434156050793431,-0.35126128942076,0.171648499567847,5.51
"52",52,5,-0.0227957160154643,-0.316740877404684,0.217703403885581,5.52
"53",53,5,-0.0171018926703156,-0.287024421705296,0.211520589238986,5.53
"54",54,5,0.000758054028717424,-0.264139008788431,0.261596217288455,5.54
"55",55,5,-0.0149479977620126,-0.270114805101669,0.21175194991079,5.55
"56",56,5,0.0251921015402741,-0.21816435287483,0.336927756254986,5.56
"57",57,5,0.0218100703017316,-0.212120150601769,0.305548005646765,5.57
"58",58,5,-0.0654434820783186,-0.398900332257567,0.133939147358166,5.58
