print(sync.model, pars = c("mu_b", "sigma_y", "a", "b"))
Inference for Stan model: twolevelrandomslope2.
4 chains, each with iter=8000; warmup=4000; thin=1; 
post-warmup draws per chain=4000, total post-warmup draws=16000.

          mean se_mean    sd   2.5%    25%    50%    75%  97.5% n_eff Rhat
mu_b     -0.40    0.00  0.08  -0.56  -0.45  -0.40  -0.34  -0.24 16000    1
sigma_y  11.76    0.00  0.20  11.39  11.63  11.76  11.90  12.16 16000    1
a[1]    199.02    0.04  4.47 190.23 195.99 199.05 202.04 207.72 16000    1
a[2]    172.24    0.04  5.00 162.54 168.86 172.20 175.58 182.12 16000    1
a[3]     82.65    0.05  5.86  71.33  78.69  82.64  86.56  94.17 16000    1
a[4]    135.53    0.02  3.08 129.49 133.41 135.50 137.66 141.53 16000    1
a[5]    143.40    0.02  3.06 137.42 141.33 143.39 145.45 149.40 16000    1
a[6]    174.80    0.04  4.70 165.49 171.65 174.84 177.99 183.93 16000    1
a[7]    150.15    0.04  4.85 140.63 146.88 150.16 153.43 159.59 16000    1
a[8]    138.61    0.02  2.42 133.86 136.99 138.63 140.25 143.32 16000    1
a[9]    171.60    0.03  3.34 165.10 169.30 171.63 173.87 178.09 16000    1
a[10]   120.33    0.10 12.03  96.64 112.28 120.48 128.56 143.21 16000    1
a[11]   111.41    0.04  4.97 101.54 108.09 111.46 114.79 120.95 16000    1
a[12]   120.88    0.02  2.36 116.23 119.30 120.85 122.48 125.52 16000    1
a[13]   121.06    0.02  2.50 116.12 119.39 121.07 122.77 125.87 16000    1
a[14]   120.82    0.02  2.46 116.04 119.19 120.81 122.46 125.68 16000    1
a[15]    55.20    0.06  7.12  41.37  50.42  55.16  60.01  69.21 16000    1
a[16]    59.70    0.04  5.59  48.66  55.93  59.69  63.44  70.78 16000    1
a[17]    94.86    0.08 10.16  75.25  87.88  94.83 101.75 114.81 16000    1
a[18]    87.97    0.09 11.48  65.38  80.22  88.12  95.72 110.31 16000    1
a[19]   150.48    0.08  9.84 131.16 143.96 150.44 157.14 169.66 16000    1
a[20]    32.91    0.13 16.21   0.96  22.07  32.68  43.66  65.38 16000    1
a[21]   121.91    0.03  3.19 115.61 119.82 121.92 124.08 128.09 16000    1
a[22]   143.05    0.03  3.44 136.30 140.73 143.03 145.35 149.79 16000    1
a[23]   115.56    0.10 12.22  91.60 107.32 115.70 123.82 139.25 16000    1
a[24]   137.27    0.03  3.74 129.92 134.74 137.26 139.76 144.63 16000    1
a[25]   143.78    0.02  2.46 139.00 142.09 143.78 145.47 148.60 16000    1
a[26]   148.69    0.03  3.51 141.74 146.31 148.72 151.03 155.60 16000    1
a[27]   163.43    0.03  3.73 156.14 160.91 163.43 165.97 170.75 16000    1
a[28]   156.65    0.03  3.33 150.22 154.43 156.64 158.88 163.11 16000    1
a[29]   138.11    0.02  2.66 132.89 136.33 138.08 139.87 143.38 16000    1
a[30]   162.37    0.03  3.41 155.67 160.08 162.36 164.69 169.06 16000    1
a[31]   118.29    0.03  3.45 111.51 115.98 118.26 120.54 125.12 16000    1
a[32]   117.55    0.03  3.67 110.36 115.06 117.57 120.03 124.62 16000    1
a[33]   106.53    0.05  6.06  94.52 102.51 106.55 110.69 118.24 16000    1
a[34]    64.21    0.03  3.18  58.02  62.07  64.21  66.34  70.42 16000    1
a[35]   110.20    0.03  3.27 103.80 108.03 110.18 112.41 116.65 16000    1
a[36]   120.61    0.02  2.40 115.95 118.97 120.59 122.24 125.28 16000    1
a[37]   118.13    0.02  2.41 113.43 116.46 118.13 119.77 122.82 16000    1
a[38]   175.94    0.08  9.81 156.91 169.31 175.86 182.58 195.25 16000    1
a[39]   186.64    0.09 10.75 165.65 179.40 186.60 193.85 207.69 16000    1
a[40]   153.30    0.03  3.64 146.22 150.82 153.30 155.78 160.33 16000    1
a[41]    62.49    0.04  5.67  51.39  58.69  62.51  66.28  73.70 16000    1
a[42]    62.89    0.05  5.95  51.20  58.86  62.92  66.88  74.55 16000    1
a[43]   121.42    0.02  2.57 116.39 119.66 121.42 123.15 126.45 16000    1
a[44]   134.85    0.03  3.91 127.11 132.24 134.87 137.49 142.52 16000    1
a[45]   170.46    0.04  4.74 161.12 167.29 170.43 173.64 179.74 16000    1
a[46]   152.07    0.03  3.93 144.39 149.45 152.08 154.73 159.84 16000    1
a[47]   134.71    0.02  3.06 128.63 132.70 134.71 136.77 140.68 16000    1
a[48]   134.81    0.02  2.40 130.10 133.18 134.81 136.42 139.54 16000    1
a[49]   124.21    0.02  2.39 119.58 122.60 124.22 125.86 128.89 16000    1
a[50]   182.09    0.04  5.01 172.08 178.75 182.11 185.47 191.99 16000    1
a[51]   187.01    0.04  4.48 178.17 184.00 187.02 190.01 195.85 16000    1
a[52]   160.25    0.02  2.83 154.69 158.30 160.27 162.14 165.85 16000    1
a[53]    41.39    0.04  5.57  30.46  37.63  41.37  45.17  52.27 16000    1
a[54]   116.49    0.03  3.90 108.83 113.91 116.46 119.12 124.14 16000    1
a[55]    41.67    0.05  5.81  30.23  37.79  41.64  45.56  53.08 16000    1
a[56]   103.92    0.02  2.39  99.18 102.30 103.92 105.54 108.55 16000    1
a[57]    51.94    0.04  5.57  41.10  48.18  51.95  55.66  62.85 16000    1
a[58]   122.91    0.02  2.82 117.41 121.01 122.90 124.80 128.46 16000    1
a[59]    44.97    0.09 11.64  22.06  37.10  45.11  52.80  67.51 16000    1
a[60]   118.49    0.03  3.90 110.79 115.88 118.54 121.10 125.98 16000    1
a[61]    49.84    0.04  5.61  38.89  46.14  49.89  53.56  60.84 16000    1
a[62]    49.31    0.05  5.78  38.07  45.38  49.30  53.18  60.62 16000    1
a[63]    55.08    0.08 10.15  35.10  48.38  55.07  61.75  75.09 16000    1
a[64]   139.68    0.02  2.71 134.40 137.86 139.67 141.52 145.00 16000    1
a[65]   192.09    0.04  4.69 183.13 188.89 192.05 195.23 201.27 16000    1
a[66]    98.23    0.02  2.62  93.04  96.45  98.22  99.99 103.41 16000    1
a[67]   107.17    0.03  3.70  99.75 104.72 107.19 109.68 114.25 16000    1
a[68]    28.93    0.13 16.06  -3.17  18.31  29.05  39.52  60.92 16000    1
a[69]   166.56    0.11 14.37 138.67 156.71 166.48 176.20 194.88 16000    1
a[70]   168.97    0.06  7.90 153.21 163.66 169.06 174.28 184.41 16000    1
a[71]   135.64    0.03  3.52 128.69 133.27 135.65 138.00 142.56 16000    1
a[72]   132.77    0.03  3.40 126.12 130.47 132.73 135.09 139.53 16000    1
a[73]   139.75    0.08 10.64 118.98 132.65 139.75 146.99 160.47 16000    1
a[74]   123.99    0.06  7.98 108.18 118.59 123.98 129.34 139.61 16000    1
a[75]   150.43    0.09 11.91 126.89 142.45 150.43 158.52 173.48 16000    1
a[76]   132.86    0.06  8.04 116.90 127.53 132.90 138.23 148.65 16000    1
a[77]   101.84    0.04  5.05  91.82  98.45 101.84 105.20 111.76 16000    1
a[78]   109.77    0.02  2.44 104.93 108.12 109.78 111.43 114.54 16000    1
a[79]    34.92    0.06  7.11  20.83  30.17  34.85  39.69  48.78 16000    1
a[80]   165.97    0.12 14.56 137.52 156.23 166.05 175.75 194.71 16000    1
a[81]   138.23    0.02  3.04 132.30 136.15 138.24 140.29 144.18 16000    1
a[82]   185.27    0.04  4.77 175.82 182.06 185.31 188.50 194.56 16000    1
a[83]   128.01    0.03  3.36 121.51 125.74 128.01 130.28 134.59 16000    1
a[84]   108.59    0.03  3.93 100.82 105.92 108.60 111.27 116.16 16000    1
a[85]   171.81    0.06  7.99 155.92 166.40 171.82 177.28 187.22 16000    1
a[86]   266.27    0.05  6.47 253.29 261.98 266.37 270.68 278.80 16000    1
a[87]   105.09    0.04  5.02  95.13 101.69 105.11 108.52 114.76 16000    1
a[88]   178.30    0.04  4.70 169.04 175.15 178.32 181.45 187.43 16000    1
b[1]     -0.71    0.00  0.21  -1.13  -0.85  -0.71  -0.57  -0.30 16000    1
b[2]      0.12    0.00  0.28  -0.43  -0.07   0.12   0.32   0.68 16000    1
b[3]     -0.08    0.00  0.37  -0.80  -0.33  -0.09   0.16   0.64 16000    1
b[4]     -0.20    0.00  0.27  -0.73  -0.39  -0.20  -0.02   0.32 16000    1
b[5]     -0.48    0.00  0.27  -1.01  -0.66  -0.48  -0.29   0.05 16000    1
b[6]      0.05    0.00  0.30  -0.53  -0.15   0.04   0.25   0.64 16000    1
b[7]      0.90    0.00  0.31   0.29   0.69   0.90   1.11   1.51 16000    1
b[8]     -0.59    0.00  0.48  -1.55  -0.91  -0.58  -0.27   0.34 16000    1
b[9]     -0.43    0.00  0.25  -0.93  -0.60  -0.43  -0.26   0.07 16000    1
b[10]    -0.12    0.00  0.48  -1.04  -0.44  -0.12   0.20   0.82 16000    1
b[11]     0.04    0.00  0.28  -0.52  -0.15   0.04   0.23   0.60 16000    1
b[12]    -0.38    0.00  0.24  -0.84  -0.54  -0.38  -0.22   0.09 16000    1
b[13]    -0.33    0.00  0.22  -0.76  -0.48  -0.33  -0.19   0.10 16000    1
b[14]    -0.34    0.00  0.22  -0.78  -0.49  -0.34  -0.19   0.09 16000    1
b[15]    -0.40    0.00  0.41  -1.22  -0.68  -0.40  -0.13   0.39 16000    1
b[16]    -0.62    0.00  0.35  -1.31  -0.85  -0.62  -0.39   0.06 16000    1
b[17]    -0.62    0.00  0.43  -1.47  -0.91  -0.62  -0.33   0.21 16000    1
b[18]    -0.39    0.00  0.47  -1.30  -0.71  -0.39  -0.07   0.53 16000    1
b[19]    -0.12    0.00  0.50  -1.09  -0.46  -0.12   0.21   0.88 16000    1
b[20]    -0.30    0.00  0.56  -1.43  -0.68  -0.30   0.07   0.79 16000    1
b[21]    -0.78    0.00  0.25  -1.28  -0.95  -0.78  -0.61  -0.28 16000    1
b[22]    -0.83    0.00  0.28  -1.38  -1.01  -0.83  -0.64  -0.27 16000    1
b[23]     0.02    0.00  0.48  -0.92  -0.31   0.01   0.34   0.97 16000    1
b[24]    -0.76    0.00  0.44  -1.64  -1.06  -0.76  -0.46   0.09 16000    1
b[25]    -0.76    0.00  0.49  -1.72  -1.09  -0.75  -0.42   0.18 16000    1
b[26]     0.43    0.00  0.30  -0.15   0.23   0.44   0.64   1.02 16000    1
b[27]    -0.94    0.00  0.29  -1.51  -1.13  -0.94  -0.75  -0.38 16000    1
b[28]    -0.12    0.00  0.28  -0.68  -0.30  -0.12   0.08   0.44 16000    1
b[29]    -0.80    0.00  0.21  -1.21  -0.94  -0.80  -0.66  -0.40 16000    1
b[30]    -0.55    0.00  0.20  -0.95  -0.68  -0.55  -0.42  -0.16 16000    1
b[31]    -0.91    0.00  0.29  -1.48  -1.11  -0.91  -0.72  -0.33 16000    1
b[32]    -0.77    0.00  0.28  -1.33  -0.95  -0.77  -0.58  -0.21 16000    1
b[33]     0.01    0.00  0.40  -0.76  -0.26   0.01   0.28   0.79 16000    1
b[34]    -0.12    0.00  0.25  -0.62  -0.29  -0.12   0.05   0.38 16000    1
b[35]    -0.50    0.00  0.28  -1.06  -0.69  -0.50  -0.32   0.05 16000    1
b[36]    -1.37    0.00  0.37  -2.11  -1.62  -1.37  -1.12  -0.66 16000    1
b[37]    -1.03    0.00  0.26  -1.55  -1.21  -1.03  -0.85  -0.52 16000    1
b[38]    -0.72    0.00  0.50  -1.71  -1.05  -0.72  -0.39   0.26 16000    1
b[39]    -0.62    0.00  0.48  -1.57  -0.94  -0.63  -0.31   0.30 16000    1
b[40]    -0.43    0.00  0.20  -0.83  -0.57  -0.43  -0.30  -0.03 16000    1
b[41]    -0.44    0.00  0.35  -1.13  -0.67  -0.44  -0.20   0.25 16000    1
b[42]    -0.46    0.00  0.37  -1.18  -0.71  -0.46  -0.21   0.27 16000    1
b[43]    -0.32    0.00  0.22  -0.74  -0.47  -0.32  -0.17   0.12 16000    1
b[44]    -0.35    0.00  0.27  -0.89  -0.54  -0.35  -0.16   0.19 16000    1
b[45]     0.11    0.00  0.30  -0.48  -0.09   0.12   0.32   0.72 16000    1
b[46]    -0.68    0.00  0.28  -1.23  -0.87  -0.68  -0.50  -0.14 16000    1
b[47]     0.03    0.00  0.39  -0.73  -0.24   0.02   0.29   0.81 16000    1
b[48]    -0.75    0.00  0.36  -1.45  -0.99  -0.74  -0.51  -0.04 16000    1
b[49]    -0.08    0.00  0.26  -0.59  -0.26  -0.09   0.09   0.42 16000    1
